TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscVal,MoSold,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Partial
1484,12.24288662,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.01054,29,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,11.13458902,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,10.59663473,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,11.91404782,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,12.10015642,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,12.01672647,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,12.53357621,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,35,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,12.64109656,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,11.88448902,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,11.9381932,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,11.59910316,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.032294,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,11.31447453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1088,11.98292909,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1350,12.04355372,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.01054,42,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11.87756858,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.201577,43,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,11.77721096,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.169366,44,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,11.85651517,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,12.67576373,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,12.38708501,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,47,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1656,12.42801548,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.284658,48,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,11.6351431,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,49,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
955,11.75194237,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,12.08390501,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,51,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,11.6483301,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,52,400,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,11.60823564,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.253548,53,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,12.86099861,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.618267,54,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,11.77528973,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,12.10348606,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,56,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,12.05815252,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,57,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
860,12.18841771,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,58,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,12.99175343,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.536635,59,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
780,11.7352687,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.050058,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,11.97035031,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.21416,61,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
530,11.5228758,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.183226,62,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,12.21849517,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.429576,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,11.8493977,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,12.29910751,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,12.66665705,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,66,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,12.10071213,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.362184,67,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,12.32829028,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,68,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,11.28978191,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,69,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,12.32385568,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,70,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2223,12.4049235,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.285759,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,11.77143616,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,72,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,12.1281111,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,73,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,11.88379913,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,74,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11.58431546,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,11.41861479,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.362184,76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,11.81857024,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,77,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,11.75194237,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,11.82407989,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,79,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,11.60823564,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,12.17303279,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.201056,81,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,11.94145585,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.623819,82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,12.40901349,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,83,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,11.74799759,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,84,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
384,12.03469103,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,85,700,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,12.46843691,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,12.06681058,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,87,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,12.01066585,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,88,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1013,11.35040654,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.183226,89,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
990,11.72480582,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,90,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.60732614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,11.49882654,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,92,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
876,12.00456827,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.21416,93,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,11.80484853,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.142595,94,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,12.229545,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,12.1281111,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.297967,96,480,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,12.27373129,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.208233,97,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,11.45899712,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,98,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,11.32659589,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,99,400,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
950,11.76718001,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,100,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,12.23076526,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.011053,101,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,12.08953883,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,102,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.68657621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1226,12.20055746,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,104,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,12.04060821,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,105,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,12.4292162,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.465036,106,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,11.51292546,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,107,450,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,108,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
793,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,109,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,12.15477935,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.203888,110,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
994,11.82700601,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.191123,111,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,12.10071213,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,112,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,12.8583197,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,113,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1809,12.28765263,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.269344,114,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1028,12.46651198,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,115,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,12.07823927,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,116,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,11.84222921,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.076342,117,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,11.9511804,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,118,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1673,12.67607627,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.345769,119,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,12.00756073,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,120,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
938,12.10071213,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.027468,121,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,11.51292546,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,122,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,11.82041016,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,123,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,11.94405832,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,124,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,12.10625231,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.075065,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,11.34450681,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.019711,126,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,11.75978554,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.220816,127,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,11.3736634,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,128,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,11.9511804,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,129,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,11.91839057,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,130,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
924,12.32829028,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,131,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,12.4049235,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,132,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,11.92337811,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,133,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,12.30138283,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,134,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,12.10071213,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,135,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,12.06681058,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,136,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,11.87059991,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,137,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,12.04941884,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,138,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1004,12.34583459,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.352425,139,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,12.35233515,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,140,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,141,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1734,12.46843691,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
