TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition
970,12.05815252,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,57,No Feature,0,8,WD,Abnorml
860,12.18841771,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,58,No Feature,0,8,WD,Normal
1410,12.99175343,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.536635,59,No Feature,0,10,New,Partial
780,11.7352687,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.050058,60,No Feature,0,1,WD,Normal
1158,11.97035031,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.21416,61,No Feature,0,5,New,Partial
530,11.5228758,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.183226,62,No Feature,0,3,WD,Normal
1370,12.21849517,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.429576,63,No Feature,0,10,WD,Normal
576,11.8493977,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,64,No Feature,0,4,WD,Normal
1057,12.29910751,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,65,No Feature,0,2,WD,Normal
1143,12.66665705,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.452453,66,No Feature,0,10,WD,Normal
1947,12.10071213,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.362184,67,No Feature,0,7,WD,Normal
1453,12.32829028,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,68,No Feature,0,6,WD,Normal
747,11.28978191,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,69,No Feature,0,6,WD,Normal
1304,12.32385568,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,70,No Feature,0,7,WD,Normal
2223,12.4049235,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.285759,71,No Feature,0,2,WD,Normal
845,11.77143616,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,72,No Feature,0,6,WD,Normal
832,12.1281111,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,73,No Feature,0,12,WD,Normal
1086,11.88379913,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,74,No Feature,0,5,WD,Normal
840,11.58431546,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,75,No Feature,0,5,WD,Normal
462,11.41861479,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.362184,76,No Feature,0,11,WD,Normal
952,11.81857024,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,77,No Feature,0,4,WD,Normal
672,11.75194237,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,78,No Feature,0,1,WD,Normal
1768,11.82407989,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,79,No Feature,0,4,WD,Normal
440,11.60823564,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,80,No Feature,0,5,WD,Normal
896,12.17303279,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.201056,81,No Feature,0,6,WD,Normal
1237,11.94145585,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.623819,82,No Feature,0,3,WD,Normal
1563,12.40901349,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,83,No Feature,0,10,WD,Normal
1065,11.74799759,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,84,No Feature,0,7,COD,Normal
384,12.03469103,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,85,Shed,700,5,WD,Normal
1288,12.46843691,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,86,No Feature,0,4,WD,Normal
684,12.06681058,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,87,No Feature,0,3,WD,Normal
612,12.01066585,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.19637,88,No Feature,0,6,New,Partial
1013,11.35040654,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.183226,89,No Feature,0,10,ConLD,Abnorml
990,11.72480582,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,90,No Feature,0,8,WD,Normal
0,11.60732614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,No Feature,0,7,WD,Normal
1235,11.49882654,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,92,No Feature,0,12,WD,Abnorml
876,12.00456827,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.21416,93,No Feature,0,8,WD,Normal
1214,11.80484853,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.142595,94,No Feature,0,11,WD,Normal
824,12.229545,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,95,No Feature,0,5,WD,Normal
680,12.1281111,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.297967,96,Shed,480,4,WD,Normal
1588,12.27373129,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.208233,97,No Feature,0,8,WD,Normal
960,11.45899712,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,98,No Feature,0,5,WD,Normal
458,11.32659589,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,99,Shed,400,5,COD,Abnorml
950,11.76718001,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,100,Shed,400,1,WD,Normal
1610,12.23076526,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.011053,101,No Feature,0,2,WD,Normal
741,12.08953883,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,102,No Feature,0,6,WD,Normal
0,11.68657621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,No Feature,0,6,WD,Alloca
1226,12.20055746,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,104,No Feature,0,5,WD,Normal
1040,12.04060821,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,105,No Feature,0,6,WD,Normal
1053,12.4292162,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.465036,106,No Feature,0,8,WD,Normal
641,11.51292546,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,107,Shed,450,8,WD,Normal
789,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,108,No Feature,0,4,WD,Partial
793,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,109,No Feature,0,8,WD,Normal
1844,12.15477935,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.203888,110,No Feature,0,1,COD,Normal
994,11.82700601,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.191123,111,No Feature,0,10,WD,Normal
384,12.10071213,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,112,No Feature,0,4,WD,Normal
1264,12.8583197,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,113,No Feature,0,10,New,Partial
1809,12.28765263,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.269344,114,No Feature,0,10,COD,Abnorml
1028,12.46651198,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,115,No Feature,0,7,WD,Normal
729,12.07823927,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,116,No Feature,0,6,WD,Normal
1092,11.84222921,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.076342,117,No Feature,0,9,WD,Normal
1125,11.9511804,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,118,No Feature,0,4,New,Partial
1673,12.67607627,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.345769,119,No Feature,0,5,WD,Normal
728,12.00756073,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,120,No Feature,0,7,New,Partial
938,12.10071213,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.027468,121,No Feature,0,10,WD,Normal
732,11.51292546,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,122,No Feature,0,6,WD,Normal
1080,11.82041016,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,123,No Feature,0,6,WD,Normal
1199,11.94405832,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,124,No Feature,0,3,WD,Normal
1362,12.10625231,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.075065,125,No Feature,0,1,WD,Normal
520,11.34450681,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.019711,126,No Feature,0,6,WD,Normal
1078,11.75978554,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.220816,127,No Feature,0,2,WD,Normal
672,11.3736634,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.069686,128,No Feature,0,6,WD,Normal
660,11.9511804,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,129,No Feature,0,7,WD,Normal
1008,11.91839057,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,130,No Feature,0,7,WD,Abnorml
924,12.32829028,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,131,No Feature,0,5,WD,Normal
992,12.4049235,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,132,No Feature,0,7,WD,Normal
1063,11.92337811,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,133,No Feature,0,7,WD,Normal
1267,12.30138283,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,134,No Feature,0,6,WD,Normal
1461,12.10071213,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,135,No Feature,0,7,WD,Normal
1304,12.06681058,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,136,No Feature,0,5,WD,Normal
1214,11.87059991,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.054403,137,No Feature,0,7,WD,Normal
1907,12.04941884,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,138,No Feature,0,7,WD,Family
1004,12.34583459,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.352425,139,No Feature,0,12,WD,Normal
928,12.35233515,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,140,No Feature,0,8,WD,Normal
864,11.65268741,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.037475,141,No Feature,0,4,ConLI,Normal
1734,12.46843691,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,142,No Feature,0,1,WD,Normal
910,12.01974307,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,143,No Feature,0,6,WD,Normal
1490,12.22587527,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.362184,144,No Feature,0,6,WD,Normal
1728,11.73606902,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.063891,145,No Feature,0,11,ConLI,Abnorml
970,11.77528973,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,146,No Feature,0,4,WD,Normal
715,11.56171563,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.061059,147,No Feature,0,11,WD,Normal
884,12.31268238,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,148,No Feature,0,5,WD,Normal
1080,11.85651517,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,149,No Feature,0,4,WD,Normal
896,11.65268741,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,150,No Feature,0,4,WD,Normal
969,11.71177632,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-0.066986,151,No Feature,0,1,WD,Normal
1710,12.82772919,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.618267,152,No Feature,0,1,New,Partial
825,12.15477935,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,153,No Feature,0,6,WD,Normal
1602,12.36734079,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.268831,154,No Feature,0,3,WD,Normal
1200,11.73606902,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,155,No Feature,0,3,WD,Family
572,11.27720313,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,156,No Feature,0,4,WD,Normal
0,11.60367983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,No Feature,0,6,WD,Normal
774,12.50432367,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.465036,158,No Feature,0,5,New,Partial
991,12.44862659,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,159,No Feature,0,5,WD,Normal
1392,12.67607627,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.345769,160,No Feature,0,3,New,Partial
1232,11.99843328,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.203888,161,No Feature,0,6,WD,Normal
1572,12.92999148,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,162,No Feature,0,3,WD,Normal
1541,12.30138283,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.259072,163,No Feature,0,5,New,Partial
882,11.54442413,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,164,No Feature,0,4,WD,Normal
1149,11.9316358,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.014502,165,No Feature,0,10,WD,Normal
644,11.75587164,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,166,No Feature,0,9,WD,Normal
1617,12.15477935,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.076342,167,No Feature,0,11,COD,Normal
1582,12.69349862,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,168,No Feature,0,11,New,Partial
840,12.11996995,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,169,No Feature,0,5,WD,Normal
1686,12.33710091,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,170,No Feature,0,1,WD,Normal
720,11.76368418,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.057235,171,No Feature,0,5,WD,Normal
1080,12.27839331,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.087691,172,No Feature,0,5,WD,Normal
1064,12.38421883,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.367736,173,No Feature,0,6,WD,Normal
1362,12.00150548,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,174,No Feature,0,6,COD,Normal
1606,12.12269104,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.080272,175,No Feature,0,11,WD,Normal
1202,12.40081672,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.020437,176,No Feature,0,6,WD,Normal
1151,12.25961341,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.290585,177,No Feature,0,9,WD,Normal
1052,12.05815252,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,178,No Feature,0,7,WD,Normal
2216,13.12603064,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.546668,179,No Feature,0,7,New,Partial
968,11.51292546,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.049338,180,No Feature,0,7,WD,Normal
756,12.08390501,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297241,181,No Feature,0,6,WD,Normal
793,12.20657252,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.121022,182,No Feature,0,7,WD,Normal
0,11.69524702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,No Feature,0,6,WD,Normal
1362,12.20607265,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.208953,184,No Feature,0,6,WD,Normal
504,11.75194237,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,185,No Feature,0,6,WD,Normal
1107,13.07107008,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.005846,186,No Feature,0,6,WD,Normal
1188,12.06104687,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,187,No Feature,0,6,WD,Normal
660,11.81303006,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.100674,188,No Feature,0,8,WD,Normal
1086,11.94039339,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.278002,189,No Feature,0,6,WD,Alloca
1593,12.56374709,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.534085,190,No Feature,0,8,WD,Normal
853,12.66032792,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.278207,191,No Feature,0,12,WD,Normal
725,12.12269104,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.044131,192,No Feature,0,6,WD,Normal
