TotalBsmtSF,LogSalePrice,BsmtHasBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_GLQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtScore,Id,MiscVal,MoSold,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_New,SaleType_Oth,SaleCondition_AdjLand,SaleCondition_Partial,BsmtFinType1_Low,SaleType_LowCon,SaleCondition_Other
1097,11.884489021402711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,11.938193200374572,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,11.59910316121128,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.032294,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11.314474526246391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1088,11.982929094215963,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1350,12.043553716032399,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.010539999999999999,42,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
840,11.877568578558138,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0.201577,43,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,11.777210959615614,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.169366,44,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1150,11.856515169360305,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,12.675763725937609,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,12.387085012375499,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,47,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1656,12.428015476267865,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.28465799999999997,48,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,11.635143097694478,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,49,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0
955,11.751942365440728,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.061058999999999995,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
794,12.083905011555967,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.27800199999999997,51,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,11.648330101976432,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,52,400,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
816,11.608235644774552,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.253548,53,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1842,12.86099861326992,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.6182669999999999,54,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,11.77528972943772,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.037475,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,12.103486056755072,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.054403,56,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
970,12.058152515453552,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,57,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12.188417710291453,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,58,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1410,12.991753427493052,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.536635,59,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0
780,11.73526869611367,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,-0.05005800000000001,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,11.970350312009105,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.21416000000000002,61,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
530,11.522875795823397,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,-0.183226,62,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,12.218495165528731,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.42957599999999996,63,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,11.84939770159144,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,12.299107511497363,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,12.666657052859417,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.45245299999999994,66,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,12.100712129872347,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.36218399999999995,67,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,12.328290278254423,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.27800199999999997,68,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,11.289781913656018,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,69,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,12.323855681186558,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.054403,70,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2223,12.404923504275338,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.285759,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,11.771436160121729,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,72,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,12.128111104060462,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,73,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,11.883799128308773,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,74,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11.584315461056901,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.100674,75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,11.418614785498987,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.36218399999999995,76,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,11.818570237796182,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.037475,77,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,11.751942365440728,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.061058999999999995,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1768,11.824079893607152,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,79,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,11.608235644774552,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,12.173032791451973,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0.201056,81,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,11.941455846009388,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.623819,82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,12.409013489526863,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.297241,83,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,11.747997587149712,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,84,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
384,12.034691028774553,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,85,700,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1288,12.468436909997665,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,12.066810578196666,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.19637,87,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,12.010665849187564,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.19637,88,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1013,11.350406535472453,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,-0.183226,89,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1
990,11.724805824005728,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,90,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.607326140391713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,11.498826540590727,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,92,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
876,12.004568269319446,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.21416000000000002,93,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,11.804848531679264,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-0.14259499999999997,94,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,12.229545001715316,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,12.128111104060462,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0.297967,96,480,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1588,12.273731294003989,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0.208233,97,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,11.458997122944673,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,98,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,11.326595886778735,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.037475,99,400,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1
950,11.76718001130949,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,100,400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1610,12.230765258120545,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.011053,101,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,12.089538829274222,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,102,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.686576205316552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,103,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1226,12.200557464842063,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,104,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,12.040608205802641,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.069686,105,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1053,12.429216196844383,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.46503599999999995,106,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,11.512925464970229,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.100674,107,450,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
789,11.652687407345388,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.037475,108,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
793,11.652687407345388,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,109,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,12.154779351142624,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.203888,110,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
994,11.82700601127654,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,-0.191123,111,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,12.100712129872347,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.297241,112,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,12.858319703517948,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.5340849999999999,113,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1809,12.287652632522597,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0.26934400000000003,114,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1028,12.46651198158808,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.044131,115,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,12.078239274020289,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.297241,116,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,11.842229212112828,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.076342,117,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1125,11.951180395901384,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,118,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1673,12.676076274775909,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.345769,119,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,12.007560729337492,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,120,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0
938,12.100712129872347,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.027468,121,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,11.512925464970229,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,122,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,11.820410164718188,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.054403,123,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1199,11.94405831982697,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.297241,124,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,12.106252310247962,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.07506499999999998,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,11.344506813345266,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.019710999999999992,126,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,11.759785542901755,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.220816,127,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,11.37366339763672,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.069686,128,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
660,11.951180395901384,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.054403,129,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1008,11.918390573078392,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,130,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
924,12.328290278254423,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,131,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,12.404923504275338,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,132,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,11.923378114589433,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,133,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,12.301382825334498,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5466679999999999,134,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,12.100712129872347,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,135,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,12.066810578196666,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,136,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,11.870599909242044,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.054403,137,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1907,12.049418835484797,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,138,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1004,12.345834587905333,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.352425,139,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,12.352335152508426,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,140,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,11.652687407345388,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.037475,141,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1734,12.468436909997665,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.27800199999999997,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,12.01974306733868,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,143,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,12.225875272826354,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.36218399999999995,144,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,11.736069016284437,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.063891,145,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1
970,11.77528972943772,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,146,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,11.56171562913966,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-0.061058999999999995,147,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
884,12.312682380588432,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,148,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,11.856515169360305,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.290585,149,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,11.652687407345388,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.208953,150,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,11.711776323715394,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.06698600000000002,151,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1710,12.827729194939907,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.6182669999999999,152,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
825,12.154779351142624,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-0.057235,153,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,12.367340793126296,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.268831,154,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1200,11.736069016284437,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,155,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
572,11.27720313144916,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-0.049338,156,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
