Id,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SaleType,SaleCondition,LogSalePrice
17,2,11241,0,1,12,0,0,6,6,71,0,2,3,1,1,2,4,1,0,1004,0,1,1004,2,0,2,3,5,6,1,0,2,0,0,0,0,0,700,8,0,11.911701584927597
18,2,10791,3,4,19,0,1,4,5,68,0,2,3,1,2,1,2,2,4,0,1,1,1296,2,0,2,3,6,6,0,2,2,0,0,0,0,0,500,8,0,11.407564949312402
19,2,13695,3,4,20,1,0,5,5,105,0,2,3,1,1,2,4,1,2,1114,0,1,1114,2,1,3,2,6,6,0,2,2,0,102,0,0,0,0,8,0,11.976659481202368
20,2,7560,3,4,12,0,0,5,6,59,0,1,3,1,1,2,4,1,3,1029,1,1,1339,1,0,3,3,6,2,0,0,1,0,0,0,0,0,0,0,1,11.842229212112828
21,2,14215,0,0,16,0,0,8,5,106,0,2,2,1,1,0,4,1,6,1158,0,1,2376,3,1,4,2,9,6,1,2,3,240,154,0,0,0,0,6,1,12.692503112461443
22,1,7449,3,4,9,0,0,7,6,34,0,2,3,1,1,2,4,1,6,637,0,1,1108,1,0,3,2,6,6,1,0,1,0,0,205,0,0,0,8,0,11.845102777308561
23,2,9742,3,4,5,0,0,8,5,103,0,2,2,1,1,2,4,1,6,1777,0,1,1795,2,0,3,2,7,6,1,0,2,171,159,0,0,0,0,8,0,12.345834587905333
24,1,4224,3,4,10,0,1,5,6,77,0,2,3,1,1,2,4,1,2,1040,1,1,1060,2,0,3,3,6,6,1,0,2,100,110,0,0,0,0,8,0,11.77452020265869
25,2,8246,0,4,19,0,0,5,6,69,0,2,3,1,1,2,4,1,5,1060,0,1,1060,2,0,3,2,6,6,1,0,1,406,90,0,0,0,0,8,0,11.944707881395766
26,2,14230,3,0,16,0,0,8,5,108,0,2,2,1,1,2,4,1,6,1566,0,1,1600,2,0,3,2,7,6,1,0,3,0,56,0,0,0,0,8,0,12.454103912352162
27,2,7200,3,0,12,0,0,5,6,52,0,2,3,1,1,2,4,1,1,900,1,1,900,1,1,3,2,5,6,0,2,2,222,32,0,0,0,0,8,0,11.811547477460344
28,2,11478,3,4,16,0,0,8,5,108,0,2,2,1,1,0,4,1,2,1704,0,1,1704,3,0,3,2,7,6,1,0,3,0,50,0,0,0,0,8,0,12.631340380934517
29,2,16321,0,1,12,0,0,5,6,58,0,2,3,1,1,2,4,0,1,1484,1,1,1600,2,0,2,3,6,6,2,0,1,288,258,0,0,0,0,8,0,12.24288661865289
30,1,6324,0,4,3,1,0,4,6,31,0,2,3,1,0,2,4,1,6,520,1,0,520,1,0,1,1,4,6,0,2,1,49,0,87,0,0,0,8,0,11.134589024250317
31,0,8500,3,4,9,1,0,4,4,24,0,1,3,0,0,2,4,1,6,649,1,0,1317,1,0,3,3,6,6,0,2,1,0,54,172,0,0,0,8,0,10.596634733096073
32,2,8544,0,1,19,0,0,5,6,67,0,2,3,1,1,2,4,1,6,1228,1,1,1228,1,1,3,2,6,6,0,0,1,0,65,0,0,0,0,8,0,11.914047823644255
33,2,11049,3,0,5,0,0,8,5,108,0,2,2,1,1,0,4,1,6,1234,0,1,1234,2,0,3,2,7,6,0,0,2,0,30,0,0,0,0,8,0,12.100156419938624
34,2,10552,0,4,12,0,0,5,5,60,0,1,3,1,1,2,4,1,5,1398,1,1,1700,1,2,4,2,6,6,1,0,2,0,38,0,0,0,0,8,0,12.016726473799254
35,2,7313,3,4,16,0,1,9,5,106,0,2,0,1,1,0,4,1,2,1561,0,1,1561,3,0,2,0,6,6,1,0,2,203,47,0,0,0,0,8,0,12.533576212168626
36,2,13418,3,4,16,0,0,8,5,105,0,2,2,1,1,0,4,1,6,1117,0,1,2452,3,1,4,2,9,6,1,2,3,113,32,0,0,0,0,8,0,12.641096555879882
37,2,10859,3,0,5,0,0,5,5,95,0,2,3,1,1,2,4,1,6,1097,0,1,1097,1,1,3,3,6,6,0,0,2,392,64,0,0,0,0,8,0,11.884489021402711
38,2,8532,3,4,12,0,0,5,6,55,0,2,3,1,1,2,4,1,5,1297,1,1,1297,1,1,3,3,5,6,1,0,2,0,0,0,0,0,0,8,0,11.938193200374572
39,2,7922,3,4,12,0,0,5,6,54,0,2,3,1,1,2,4,1,2,1057,1,1,1057,2,0,3,2,5,6,0,2,1,0,52,0,0,0,0,8,1,11.59910316121128
40,2,6040,3,4,7,0,1,4,5,56,0,0,3,1,1,1,2,2,4,0,1,0,1152,2,0,2,1,6,6,0,1,0,0,0,0,0,0,0,8,1,11.314474526246391
41,2,8658,3,4,12,0,0,6,5,66,0,2,3,1,1,2,4,1,5,1088,0,1,1324,2,0,3,3,6,6,1,0,2,0,138,0,0,0,0,8,1,11.982929094215963
42,2,16905,3,4,23,0,0,5,6,60,0,2,3,1,1,2,4,0,1,1350,1,1,1328,1,2,2,3,5,6,2,0,1,0,104,0,0,0,0,8,0,12.043553716032399
43,2,9180,0,1,20,0,0,5,6,84,0,2,3,1,1,2,4,1,0,840,1,1,884,2,0,2,2,5,6,0,0,2,240,0,0,0,0,0,8,0,11.877568578558138
44,2,9200,0,1,5,0,0,5,6,76,0,2,3,1,1,2,4,1,3,938,1,1,938,2,0,3,3,5,6,0,2,1,145,0,0,0,0,0,8,0,11.777210959615614
45,2,7945,3,4,12,0,0,5,6,60,0,1,3,1,1,2,4,1,0,1150,0,1,1150,2,0,3,3,6,6,0,0,1,0,0,0,0,0,0,8,0,11.856515169360305
46,2,7658,3,4,16,0,1,9,5,106,0,2,0,1,1,0,4,1,2,1752,0,1,1752,3,0,2,0,6,6,1,0,2,196,82,0,0,0,0,8,0,12.675763725937609
47,2,12822,0,1,11,0,0,7,5,104,0,2,2,1,1,0,4,1,2,1434,0,1,2149,2,1,1,2,6,6,1,0,2,168,43,0,0,198,0,8,1,12.387085012375499
48,1,11096,3,4,21,0,0,8,5,107,0,2,2,1,1,2,4,1,2,1656,0,1,1656,2,0,3,2,7,6,0,0,3,0,146,0,0,0,0,8,0,12.428015476267865
49,1,4456,3,4,17,0,1,4,5,24,0,2,3,1,0,2,4,1,6,736,1,1,1452,2,0,2,3,8,6,0,1,0,0,0,102,0,0,0,6,1,11.635143097694478
50,2,7742,3,4,19,0,0,5,6,67,0,2,3,1,1,2,4,1,1,955,0,1,955,2,0,3,3,6,6,0,0,1,0,0,0,0,0,0,8,0,11.751942365440728
51,2,13869,1,0,8,0,0,6,6,98,0,2,3,1,1,2,4,1,2,794,1,1,1470,2,1,3,3,6,6,0,0,2,0,75,0,0,0,0,8,0,12.083905011555967
52,1,6240,3,4,3,0,0,6,6,37,0,2,3,1,1,2,4,1,6,816,1,1,1176,1,0,3,3,6,6,1,2,2,112,0,0,0,0,400,8,0,11.648330101976432
53,1,8472,1,0,9,1,1,5,5,64,0,2,1,1,1,2,4,0,3,816,1,0,816,2,0,2,3,5,6,0,2,2,106,0,0,0,0,0,8,0,11.608235644774552
54,2,50271,0,4,24,0,0,9,5,82,1,2,2,1,1,0,4,0,2,1842,1,1,1842,2,1,0,2,5,6,1,0,3,857,72,0,0,0,0,8,0,12.86099861326992
55,2,7134,3,4,12,0,0,5,5,56,0,2,3,1,1,2,4,1,0,384,1,1,1360,1,0,3,3,6,2,1,2,2,0,50,0,0,0,0,8,0,11.77528972943772
56,2,10175,0,4,12,0,0,6,5,65,0,2,3,1,1,2,4,1,1,1425,1,1,1425,2,0,3,3,7,6,1,0,2,0,0,0,407,0,0,8,0,12.103486056755072
57,1,2645,3,4,21,0,1,8,5,100,0,2,2,1,1,2,4,1,2,970,0,1,1739,3,1,3,2,7,6,0,0,2,115,0,0,0,0,0,8,1,12.058152515453552
58,2,11645,0,0,5,0,0,7,5,105,0,2,2,1,1,2,4,1,6,860,0,1,1720,2,1,3,2,7,6,0,0,2,0,70,0,0,0,0,8,0,12.188417710291453
59,2,13682,1,1,22,0,0,10,5,107,0,2,0,1,1,0,4,0,6,1410,0,1,2945,3,1,3,2,10,6,1,2,3,192,0,37,0,0,0,6,1,12.991753427493052
60,2,7200,3,4,5,0,0,5,6,73,0,2,3,1,1,2,4,1,0,780,0,1,780,1,0,2,3,4,6,0,2,1,196,0,0,0,0,0,8,0,11.73526869611367
61,2,13072,3,4,20,1,0,6,5,105,0,2,3,1,1,2,4,1,0,1158,0,1,1158,2,1,3,2,5,6,0,2,2,0,50,0,0,0,0,6,1,11.970350312009105
62,1,7200,3,4,9,0,0,5,6,24,0,2,3,1,0,2,0,1,6,530,1,0,1111,1,0,3,1,6,6,0,2,1,0,0,144,0,0,0,8,0,11.522875795823397
63,2,6442,0,4,16,0,1,8,5,107,0,2,2,1,1,2,1,1,2,1370,0,1,1370,2,0,2,2,6,6,1,0,2,120,49,0,0,0,0,8,0,12.218495165528731
64,1,10300,0,4,17,2,0,7,6,25,0,2,3,1,0,2,4,1,6,576,1,1,1710,2,0,3,3,9,6,0,2,2,12,11,64,0,0,0,8,0,11.84939770159144
65,2,9375,3,4,5,0,0,7,5,98,0,2,3,1,1,2,4,1,2,1057,0,1,2034,3,1,3,2,8,6,0,0,2,576,36,0,0,0,0,8,0,12.299107511497363
66,2,9591,3,4,16,0,0,8,5,105,0,2,2,1,1,0,4,1,6,1143,0,1,2473,2,1,4,2,9,6,1,2,3,192,151,0,0,0,0,8,0,12.666657052859417
67,2,19900,3,4,12,1,0,7,5,71,0,2,3,1,1,2,4,0,2,1947,1,1,2207,3,0,3,3,7,2,1,0,2,301,0,0,0,0,0,8,0,12.100712129872347
68,2,10665,0,4,5,0,0,7,5,104,0,2,2,1,1,2,4,1,2,1453,0,1,1479,3,0,3,2,7,6,0,0,2,144,29,0,0,0,0,8,0,12.328290278254423
69,1,4608,3,0,17,1,0,4,6,46,0,2,3,1,1,2,4,1,6,747,1,1,747,1,0,2,3,4,6,0,0,1,0,0,0,0,0,0,8,0,11.289781913656018
70,2,15593,3,0,4,0,0,7,4,54,0,1,2,1,1,2,4,1,1,1304,1,1,2287,2,0,3,3,7,6,1,0,2,0,21,114,0,0,0,8,0,12.323855681186558
71,2,13651,0,4,12,0,0,7,6,74,0,2,3,1,1,2,4,0,0,2223,0,1,2223,3,0,3,3,8,6,2,0,2,300,0,0,0,0,0,8,0,12.404923504275338
72,2,7599,3,0,11,0,0,4,6,83,0,2,3,1,1,2,4,1,0,845,1,1,845,2,0,2,3,4,6,0,2,2,0,0,0,0,0,0,8,0,11.771436160121729
73,2,10141,0,0,8,0,0,7,5,99,0,2,3,1,1,2,4,1,6,832,1,1,1718,2,1,3,3,7,6,1,0,2,0,94,0,0,291,0,8,0,12.128111104060462
74,2,10200,3,4,12,0,0,5,6,55,0,2,3,1,1,2,4,1,0,1086,1,1,1086,2,0,3,3,6,6,0,0,2,0,0,0,0,0,0,8,0,11.883799128308773
75,1,5790,3,0,17,0,0,3,6,19,0,2,2,1,1,2,4,1,6,840,1,0,1605,2,0,3,3,8,6,0,2,1,0,0,202,0,0,0,8,0,11.584315461056901
76,1,1596,3,4,10,0,1,4,5,74,0,2,3,1,1,2,4,0,2,462,1,1,988,2,0,2,3,5,6,0,2,1,120,101,0,0,0,0,8,0,11.418614785498987
77,2,8475,0,4,12,0,0,4,6,57,0,2,3,1,1,2,4,1,0,952,0,1,952,1,0,2,3,4,6,0,2,1,0,0,0,0,0,0,8,0,11.818570237796182
78,1,8635,3,4,3,0,0,5,5,49,0,2,3,1,1,2,4,1,1,672,1,1,1285,2,0,2,3,6,2,0,2,1,0,0,0,0,0,0,8,0,11.751942365440728
79,2,10778,3,4,19,0,1,4,5,69,0,2,3,1,1,2,4,1,6,1768,1,0,1768,2,0,4,3,8,6,0,1,0,0,0,0,0,0,0,8,0,11.824079893607152
80,1,10440,3,0,17,0,0,5,6,14,0,2,3,1,1,2,4,1,6,440,1,1,1230,1,1,2,3,5,6,0,2,2,74,0,128,0,0,0,8,0,11.608235644774552
81,2,13000,3,0,12,0,0,6,6,69,0,2,3,1,1,2,4,1,5,896,1,1,2142,2,1,4,2,8,6,1,0,1,0,72,0,0,252,0,8,0,12.173032791451973
82,1,4500,3,2,11,0,1,6,5,99,0,2,3,1,1,0,1,1,2,1237,0,1,1337,3,0,2,3,5,6,0,0,2,0,199,0,0,0,0,8,0,11.941455846009388
83,2,10206,3,4,21,0,0,8,5,108,0,2,3,1,1,2,4,1,2,1563,0,1,1563,2,0,3,2,6,6,1,0,3,144,99,0,0,0,0,8,0,12.409013489526863
84,2,8892,0,4,12,0,0,5,5,61,0,2,3,1,1,2,4,1,6,1065,1,1,1065,1,1,3,3,6,6,0,2,2,74,0,0,0,0,0,0,0,11.747997587149712
85,2,8530,0,4,8,0,0,7,5,96,0,2,3,1,1,2,4,1,6,384,1,1,1474,2,1,3,3,7,6,1,2,2,120,72,0,0,0,700,8,0,12.034691028774553
86,2,16059,3,0,15,0,0,8,5,92,0,2,2,1,1,2,4,1,6,1288,0,1,2417,2,1,4,2,9,6,1,0,2,127,82,0,0,0,0,8,0,12.468436909997665
87,2,11911,1,4,8,0,0,6,5,106,0,2,2,1,1,2,4,1,6,684,0,1,1560,2,1,3,2,6,6,1,2,2,100,38,0,0,0,0,8,0,12.066810578196666
88,1,3951,3,0,21,0,1,6,5,110,0,2,2,1,1,2,4,1,6,612,0,1,1224,2,1,2,2,4,6,0,2,2,0,234,0,0,0,0,6,1,12.010665849187564
89,0,8470,0,0,9,1,0,3,3,19,0,2,1,0,1,2,0,1,6,1013,1,0,1526,1,0,2,1,6,6,0,1,0,0,0,156,0,0,0,3,1,11.350406535472453
90,2,8070,3,4,5,0,0,4,5,95,0,2,3,1,1,2,4,1,2,990,0,1,990,2,0,3,3,5,6,0,1,0,0,0,0,0,0,0,8,0,11.724805824005728
91,2,7200,3,4,12,0,0,4,5,51,0,1,3,1,2,1,2,2,4,0,1,1,1040,1,0,2,3,4,6,0,2,2,0,29,0,0,0,0,8,0,11.607326140391713
92,2,8500,3,4,12,0,0,5,3,62,0,2,3,1,1,2,4,1,5,1235,1,1,1235,1,0,2,3,6,6,0,0,2,0,0,0,0,0,0,8,1,11.498826540590727
93,2,13360,0,4,6,0,0,5,6,25,0,2,3,1,0,2,4,1,0,876,0,1,964,2,0,2,3,5,6,0,2,2,0,0,44,0,0,0,8,0,12.004568269319446
94,0,7200,3,0,17,0,1,6,6,14,0,2,3,1,0,2,0,1,5,1214,0,0,2291,2,1,4,3,9,6,1,2,2,0,0,0,0,99,0,8,0,11.804848531679264
95,2,9337,0,4,5,0,0,6,5,98,0,2,3,1,1,2,4,1,2,824,0,1,1786,3,1,3,2,7,6,0,0,2,0,162,0,0,0,0,8,0,12.229545001715316
96,2,9765,1,0,8,0,0,6,6,94,0,2,0,1,1,2,1,1,0,680,1,1,1470,2,1,3,3,6,6,1,2,2,232,63,0,0,0,480,8,0,12.128111104060462
97,2,10264,0,4,5,0,0,7,5,100,0,2,2,1,1,2,4,1,0,1588,0,1,1588,2,0,3,2,6,6,0,0,2,158,29,0,0,0,0,8,0,12.273731294003989
98,2,10921,3,4,7,0,0,4,5,66,0,2,3,1,1,2,4,1,5,960,1,1,960,2,0,3,3,6,6,0,0,1,120,0,0,0,0,0,8,0,11.458997122944673
99,2,10625,3,0,7,0,0,5,5,24,0,2,3,1,0,2,4,1,0,458,1,0,835,1,0,2,3,5,6,0,2,1,0,0,77,0,0,400,0,1,11.326595886778735
100,2,9320,0,4,12,0,0,4,5,60,0,2,3,1,1,2,4,1,0,950,1,1,1225,2,1,3,3,6,6,0,1,0,352,0,0,0,0,400,8,0,11.76718001130949
101,2,10603,0,4,14,0,0,6,6,78,0,2,3,1,1,2,4,1,0,1610,1,1,1610,3,0,3,2,6,6,2,0,2,168,68,0,0,0,0,8,0,12.230765258120545
102,2,9206,3,4,20,0,0,6,5,86,0,2,2,1,1,2,4,1,6,741,1,1,1732,2,1,3,2,7,6,1,0,2,192,46,0,0,0,0,8,0,12.089538829274222
103,2,7018,3,4,20,0,1,5,5,80,0,2,3,0,2,1,2,2,4,0,1,1,1535,2,0,4,3,8,6,0,0,2,0,0,0,0,0,0,8,1,11.686576205316552
104,2,10402,0,0,5,0,0,7,5,110,0,2,3,1,1,2,4,1,6,1226,0,1,1226,2,0,3,2,6,6,0,0,3,0,36,0,0,0,0,8,0,12.200557464842063
105,1,7758,3,0,9,0,0,7,4,35,0,2,3,0,1,2,4,1,3,1040,0,1,1818,1,1,4,3,7,6,2,2,1,0,0,0,0,184,0,8,0,12.040608205802641
106,1,9375,3,4,21,0,0,8,5,104,0,2,2,1,1,0,4,1,6,1053,0,1,1992,2,1,3,2,9,6,1,0,2,140,45,0,0,0,0,8,0,12.429216196844383
107,1,10800,3,4,17,0,0,4,6,4,0,2,3,1,0,2,4,1,6,641,1,1,1047,1,0,2,3,6,6,0,2,1,0,0,0,0,0,450,8,0,11.512925464970229
108,1,6000,3,4,17,0,0,5,5,49,0,2,3,1,1,2,4,1,0,789,0,1,789,1,0,2,3,5,6,0,2,1,0,0,0,0,0,0,8,1,11.652687407345388
109,1,8500,3,0,9,1,0,5,6,23,0,2,3,1,1,2,4,1,6,793,1,0,1517,2,0,3,1,7,6,0,1,0,0,0,144,0,0,0,8,0,11.652687407345388
110,2,11751,0,4,14,0,0,6,6,78,0,2,3,1,1,2,4,1,1,1844,0,1,1844,2,0,3,3,7,6,1,0,2,0,122,0,0,0,0,0,0,12.154779351142624
111,2,9525,3,4,7,0,0,6,4,55,0,2,3,1,1,2,0,1,5,994,1,1,1855,2,0,4,3,7,6,0,0,1,182,0,0,0,0,0,8,0,11.82700601127654
112,2,7750,0,4,8,0,0,7,5,101,0,2,3,1,1,2,4,1,2,384,0,1,1430,2,1,3,3,7,6,1,2,2,180,0,0,0,0,0,8,0,12.100712129872347
113,2,9965,3,4,5,0,0,7,5,108,0,2,2,1,1,0,4,1,2,1264,0,1,2696,3,1,4,0,10,6,1,2,3,120,184,0,0,168,0,6,1,12.858319703517948
114,2,21000,3,0,6,0,0,6,5,54,0,2,3,1,1,2,4,1,0,1809,1,1,2259,3,0,3,2,7,6,2,2,2,166,120,192,0,0,0,0,1,12.287652632522597
115,2,7259,0,4,6,0,0,6,6,46,0,2,3,1,1,2,4,1,0,1028,0,1,2320,3,1,3,2,9,6,1,2,1,224,0,0,0,0,0,8,0,12.46651198158808
116,1,3230,3,0,21,0,1,6,5,100,0,2,3,1,1,2,4,1,2,729,1,1,1458,2,1,2,3,5,6,1,2,2,0,32,0,0,0,0,8,0,12.078239274020289
117,2,11616,3,4,19,0,0,5,5,63,0,2,3,1,1,2,4,1,3,1092,1,1,1092,1,1,3,3,6,6,1,0,1,0,20,144,0,0,0,8,0,11.842229212112828
118,2,8536,3,0,7,0,0,5,5,107,0,2,3,1,1,2,4,1,6,1125,1,1,1125,1,1,2,3,5,6,0,0,2,80,64,0,0,0,0,6,1,11.951180395901384
119,2,12376,3,0,20,0,0,7,5,91,0,2,3,1,1,2,4,1,2,1673,1,1,3222,4,0,5,2,11,6,2,0,3,367,0,0,0,0,0,8,0,12.676076274775909
120,2,8461,3,4,5,0,0,6,5,106,0,2,2,1,1,2,4,1,6,728,0,1,1456,2,1,3,2,8,6,1,0,2,0,24,0,0,0,0,6,1,12.007560729337492
121,2,21453,0,1,4,0,0,6,5,70,0,2,3,1,1,2,4,0,0,938,0,1,988,2,0,1,3,4,6,2,0,2,0,130,0,130,0,0,8,0,12.100712129872347
122,1,6060,3,4,9,0,0,4,5,42,0,0,3,1,1,2,4,1,6,732,1,1,1123,1,0,3,3,4,6,0,2,1,0,0,140,0,0,0,8,0,11.512925464970229
123,2,9464,3,0,12,0,0,6,6,59,0,2,3,1,1,2,4,1,1,1080,1,1,1080,1,0,3,3,5,6,0,0,1,0,0,0,0,130,0,8,0,11.820410164718188
124,2,7892,3,4,20,0,1,6,5,94,0,2,2,1,1,2,4,1,2,1199,0,1,1199,2,0,2,2,5,6,0,0,2,0,63,0,0,0,0,8,0,11.94405831982697
125,2,17043,0,1,14,0,0,6,5,80,0,2,3,1,1,2,0,1,6,1362,1,1,1586,2,0,3,3,7,6,1,0,2,192,0,0,0,0,0,8,0,12.106252310247962
126,1,6780,3,4,9,0,1,6,6,38,0,2,3,0,1,2,4,1,2,520,1,0,754,2,0,2,3,5,6,0,1,0,53,0,0,0,0,0,8,0,11.344506813345266
127,2,4928,0,4,13,0,1,6,5,77,0,2,3,1,1,2,4,1,0,1078,1,1,958,2,0,2,3,5,6,1,0,2,0,205,0,0,0,0,8,0,11.759785542901755
128,1,4388,0,4,17,1,0,5,6,34,0,2,3,1,0,2,4,1,3,672,0,1,840,1,0,3,3,5,6,1,1,0,0,0,0,0,0,0,8,0,11.37366339763672
129,2,7590,3,4,12,1,0,6,5,67,0,2,3,1,1,2,4,1,1,660,1,1,1348,1,1,3,3,6,6,1,0,2,188,108,0,0,0,0,8,0,11.951180395901384
130,2,8973,3,4,12,0,0,5,6,59,0,2,3,1,1,2,4,1,5,1008,1,1,1053,1,2,3,0,6,6,0,2,2,0,80,0,180,0,0,8,1,11.918390573078392
131,2,14200,3,0,12,0,0,7,6,67,0,2,3,1,1,2,4,1,5,924,0,1,2157,2,1,4,2,8,6,2,0,2,105,66,0,0,0,0,8,0,12.328290278254423
132,2,12224,0,0,8,0,0,6,5,101,0,2,2,1,1,2,4,1,2,992,0,1,2054,3,1,3,2,7,6,1,2,2,24,48,0,0,0,0,8,0,12.404923504275338
133,2,7388,3,0,12,0,0,5,6,60,0,2,3,1,1,2,4,1,5,1063,1,1,1327,2,0,3,2,7,6,0,2,2,0,0,0,0,0,0,8,0,11.923378114589433
134,2,6853,0,4,23,0,0,8,5,102,0,2,2,1,1,0,4,1,2,1267,0,1,1296,3,0,2,2,6,6,0,0,2,192,25,0,0,0,0,8,0,12.301382825334498
135,2,10335,0,4,19,0,0,5,6,69,0,2,3,1,1,2,4,1,5,1461,1,1,1721,2,1,3,3,7,2,1,0,2,0,96,180,0,0,0,8,0,12.100712129872347
136,2,10400,3,4,14,0,0,7,6,71,0,2,3,1,1,2,4,1,6,1304,1,1,1682,2,0,3,3,7,6,1,0,2,98,0,0,0,0,0,8,0,12.066810578196666
137,2,10355,0,0,12,0,0,5,5,68,0,2,3,1,1,2,4,1,1,1214,1,1,1214,2,0,3,3,5,6,1,0,1,0,111,0,0,0,0,8,0,11.870599909242044
138,2,11070,3,4,11,0,1,7,5,89,0,2,3,1,1,2,4,1,6,1907,1,1,1959,3,0,5,3,9,6,0,2,3,0,0,0,0,0,0,8,1,12.049418835484797
139,2,9066,0,4,5,0,0,8,5,100,0,2,2,1,1,2,4,1,2,1004,0,1,1852,2,1,3,2,7,6,2,0,3,224,106,0,0,0,0,8,0,12.345834587905333
140,2,15426,0,4,5,0,0,6,5,98,0,2,3,1,1,2,4,1,2,928,0,1,1764,3,1,3,2,7,6,0,0,2,276,99,0,0,0,0,8,0,12.352335152508426
141,2,10500,3,2,12,0,0,4,5,72,0,2,3,1,1,2,4,1,0,864,1,1,864,1,0,3,3,5,6,1,1,0,0,0,0,0,0,0,4,0,11.652687407345388
142,2,11645,3,4,5,0,0,7,5,106,0,2,2,1,1,2,4,1,2,1734,0,1,1734,3,0,3,2,7,6,0,0,2,160,24,0,0,0,0,8,0,12.468436909997665
143,2,8520,3,0,12,1,0,5,4,53,0,1,3,0,1,2,4,1,5,910,1,1,1385,2,0,4,3,6,6,0,2,2,0,0,0,0,0,0,8,0,12.01974306733868
144,2,10335,0,4,5,0,0,7,5,100,0,2,2,1,1,2,4,0,2,1490,0,1,1501,3,0,3,2,6,6,0,0,2,144,29,0,0,0,0,8,0,12.225875272826354
145,1,9100,3,4,19,1,1,5,5,64,0,2,3,1,1,2,4,1,5,1728,1,1,1728,3,0,6,3,10,6,0,2,2,0,0,0,0,0,0,4,1,11.736069016284437
