Id,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice,BsmtHasBath
370,RL,0.0,9830,IR1,Corner,NAmes,Norm,1Fam,1Story,5,7,1959,Gable,CompShg,Wd Sdng,None,TA,Gd,CBlock,TA,TA,No,ALQ,1063,Ex,Y,SBrkr,1287,0,0,1287,1,0,3,Gd,7,Typ,1,Gd,Detchd,1997.0,Fin,2,TA,TA,Y,364,17,0,0,182,0,None,3,WD,Normal,162000,1
371,RL,0.0,8121,IR1,Inside,Gilbert,Norm,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,953,Ex,Y,SBrkr,953,711,0,1664,2,1,3,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2,TA,TA,Y,100,40,0,0,0,0,None,1,WD,Normal,172400,0
372,RL,80.0,17120,Reg,Inside,ClearCr,Feedr,1Fam,1.5Fin,4,4,1959,Gable,CompShg,WdShing,None,TA,TA,CBlock,None,None,None,None,0,TA,Y,SBrkr,1120,468,0,1588,2,0,4,TA,7,Min2,1,Gd,Detchd,1991.0,Fin,2,TA,TA,N,0,59,0,0,0,0,None,7,WD,Normal,134432,0
373,RL,50.0,7175,Reg,Inside,SawyerW,Norm,TwnhsE,1Story,6,5,1984,Gable,CompShg,Plywood,None,TA,TA,CBlock,Gd,TA,No,ALQ,744,TA,Y,SBrkr,752,0,0,752,1,0,2,TA,4,Typ,0,None,Attchd,1984.0,Unf,1,TA,TA,Y,353,0,0,0,90,0,None,2,WD,Normal,125000,1
374,RL,79.0,10634,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1953,Gable,CompShg,MetalSd,None,TA,TA,PConc,TA,TA,No,BLQ,608,TA,Y,SBrkr,1319,0,0,1319,1,0,3,TA,5,Min2,0,None,Attchd,1953.0,Unf,1,TA,TA,Y,66,0,0,0,0,0,None,11,WD,Normal,123000,1
375,RL,65.0,8200,Reg,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,847,Ex,Y,SBrkr,847,1081,0,1928,2,1,4,Gd,8,Typ,1,Gd,BuiltIn,2003.0,Fin,2,TA,TA,Y,100,48,0,0,0,0,None,7,WD,Normal,219500,0
376,RL,0.0,10020,IR1,Inside,Edwards,Norm,1Fam,1Story,1,1,1922,Gable,CompShg,Wd Sdng,None,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,683,Gd,N,FuseA,904,0,0,904,0,1,1,Fa,4,Maj1,0,None,None,None,None,0,None,None,Y,0,0,0,0,0,0,None,3,WD,Normal,61000,1
377,RL,57.0,8846,IR1,CulDSac,CollgCr,Norm,1Fam,SFoyer,5,5,1996,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,870,Ex,Y,SBrkr,914,0,0,914,1,0,2,TA,5,Typ,0,None,Detchd,1998.0,Unf,2,TA,TA,Y,0,0,0,0,0,0,None,7,WD,Normal,148000,0
378,FV,102.0,11143,IR1,Corner,Somerst,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Gd,TA,No,Unf,1580,Ex,Y,SBrkr,1580,886,0,2466,3,0,4,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,159,214,0,0,0,0,None,12,WD,Normal,340000,0
379,RL,88.0,11394,Reg,Corner,StoneBr,Norm,1Fam,1Story,9,2,2010,Hip,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,1856,Ex,Y,SBrkr,1856,0,0,1856,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3,TA,TA,Y,113,0,0,0,0,0,None,6,New,Partial,394432,1
380,RL,60.0,8123,IR1,Inside,Gilbert,RRAn,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,982,Ex,Y,SBrkr,1007,793,0,1800,2,1,3,TA,7,Typ,1,TA,Attchd,2000.0,Fin,2,TA,TA,Y,100,63,0,0,0,0,None,6,WD,Normal,179000,0
381,RL,50.0,5000,Reg,Inside,SWISU,Norm,1Fam,1.5Fin,5,6,1924,Gable,CompShg,BrkFace,None,TA,TA,BrkTil,TA,TA,No,LwQ,1026,TA,Y,SBrkr,1026,665,0,1691,2,0,3,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1,TA,TA,Y,0,0,242,0,0,0,None,5,WD,Normal,127000,0
382,FV,60.0,7200,Reg,Inside,Somerst,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,Gd,No,Unf,1293,Ex,Y,SBrkr,1301,0,0,1301,2,0,2,Gd,5,Typ,1,Gd,Attchd,2006.0,RFn,2,TA,TA,Y,216,121,0,0,0,0,None,8,New,Partial,187750,1
383,RL,79.0,9245,IR1,Inside,CollgCr,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,939,Ex,Y,SBrkr,939,858,0,1797,2,1,3,Gd,8,Typ,0,None,Attchd,2006.0,RFn,2,TA,TA,Y,144,53,0,0,0,0,None,4,WD,Normal,213500,0
384,RH,60.0,9000,Reg,Corner,SawyerW,Norm,1Fam,1.5Unf,6,3,1928,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,Fa,Fa,No,Unf,784,TA,N,FuseA,784,0,0,784,1,0,2,TA,5,Typ,0,None,Detchd,1950.0,Unf,2,Fa,Fa,N,0,0,91,0,0,0,None,10,WD,Normal,76000,0
385,RL,0.0,53107,IR2,Corner,ClearCr,Feedr,1Fam,2Story,6,5,1992,Gable,CompShg,HdBoard,None,Gd,TA,PConc,Gd,TA,Av,GLQ,1580,Ex,Y,SBrkr,1079,874,0,1953,2,1,3,Gd,9,Typ,2,Fa,Attchd,1992.0,Fin,2,TA,TA,Y,216,231,0,0,0,0,None,6,WD,Normal,240000,1
386,RL,43.0,3182,Reg,Inside,Blmngtn,Norm,TwnhsE,1Story,8,5,2004,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,1256,Ex,Y,SBrkr,1269,0,0,1269,2,0,2,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,TA,TA,Y,146,20,0,0,144,0,None,4,WD,Normal,192000,0
387,RL,58.0,8410,Reg,FR2,Edwards,Feedr,1Fam,1.5Fin,5,3,1910,Gambrel,CompShg,Wd Sdng,None,TA,Fa,PConc,TA,TA,No,Unf,658,TA,Y,SBrkr,658,526,0,1184,1,0,5,TA,8,Typ,0,None,None,None,None,0,None,None,N,0,151,0,0,0,0,None,5,WD,AdjLand,81000,0
388,RL,72.0,7200,Reg,Inside,Edwards,Norm,1Fam,SLvl,6,6,1976,Hip,CompShg,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Av,ALQ,1041,Ex,Y,SBrkr,1125,0,0,1125,1,0,3,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1,TA,TA,Y,296,0,0,0,0,0,None,10,WD,Abnorml,125000,1
389,RL,93.0,9382,IR1,CulDSac,CollgCr,Norm,1Fam,1Story,7,5,1999,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,1468,Ex,Y,SBrkr,1479,0,0,1479,2,0,3,Gd,6,Typ,0,None,Attchd,1999.0,RFn,2,TA,TA,Y,120,25,0,0,0,0,None,7,WD,Normal,191000,0
390,RL,96.0,12474,Reg,Inside,NridgHt,Norm,1Fam,2Story,10,5,2007,Gable,CompShg,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Av,GLQ,1682,Ex,Y,SBrkr,1742,590,0,2332,2,1,3,Ex,9,Typ,1,Ex,BuiltIn,2008.0,Fin,3,TA,TA,Y,196,134,0,0,0,0,None,8,New,Partial,426000,1
391,RL,50.0,8405,Reg,Inside,Edwards,Norm,1Fam,1.5Fin,5,8,1900,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,Gd,No,Rec,861,Ex,Y,SBrkr,961,406,0,1367,1,0,4,TA,7,Typ,0,None,Detchd,1978.0,Unf,1,TA,TA,Y,0,130,112,0,0,0,None,4,WD,Normal,119000,1
392,RL,71.0,12209,IR1,CulDSac,Mitchel,Norm,1Fam,2Story,6,5,2001,Gable,CompShg,VinylSd,None,TA,TA,PConc,Ex,TA,No,ALQ,804,Ex,Y,SBrkr,804,1157,0,1961,2,1,3,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2,TA,TA,Y,125,192,0,0,0,0,None,6,WD,Normal,215000,1
393,RL,0.0,8339,IR1,Inside,NAmes,Norm,1Fam,1Story,5,7,1959,Gable,CompShg,MetalSd,None,TA,TA,Slab,None,None,None,None,0,TA,Y,SBrkr,882,0,0,882,1,0,3,TA,5,Typ,0,None,Attchd,1959.0,RFn,1,TA,TA,Y,0,0,0,0,0,0,Shed,7,WD,Normal,106500,0
394,RL,0.0,7446,Reg,Corner,BrkSide,Feedr,1Fam,1Story,4,5,1941,Gable,CompShg,WdShing,None,TA,TA,CBlock,TA,TA,No,Rec,788,TA,Y,FuseA,788,0,0,788,1,0,2,TA,4,Typ,2,TA,None,None,None,0,None,None,Y,0,0,0,0,0,0,None,4,WD,Abnorml,100000,0
395,RL,60.0,10134,Reg,Inside,OldTown,Norm,1Fam,1.5Fin,5,6,1940,Gable,CompShg,MetalSd,None,TA,TA,CBlock,TA,TA,No,Unf,735,Gd,Y,FuseA,735,299,0,1034,1,0,2,TA,5,Typ,0,None,Detchd,1940.0,Unf,1,TA,TA,Y,0,39,0,0,0,0,None,7,WD,Normal,109000,0
396,RL,68.0,9571,Reg,Inside,Edwards,Norm,1Fam,1Story,5,6,1956,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,Av,BLQ,1144,TA,Y,SBrkr,1144,0,0,1144,1,0,3,TA,6,Typ,0,None,Attchd,1956.0,Unf,1,TA,TA,Y,44,0,0,0,0,0,None,6,WD,Normal,129000,1
397,RL,60.0,7200,Reg,Inside,CollgCr,Norm,1Fam,1Story,5,5,1972,Hip,CompShg,MetalSd,None,TA,TA,CBlock,TA,TA,Av,Rec,894,TA,Y,SBrkr,894,0,0,894,1,0,2,TA,6,Typ,0,None,Detchd,1985.0,RFn,2,TA,TA,Y,215,0,0,0,0,0,None,9,WD,Normal,123000,0
398,RL,69.0,7590,Reg,Inside,NAmes,PosN,1Fam,2Story,5,5,1962,Gable,CompShg,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,864,TA,Y,SBrkr,876,936,0,1812,2,0,4,TA,8,Typ,1,TA,Attchd,1962.0,RFn,1,TA,TA,Y,0,168,0,0,0,0,None,7,WD,Normal,169500,0
399,RM,60.0,8967,Reg,Corner,IDOTRR,Norm,1Fam,1Story,5,2,1920,Gable,CompShg,MetalSd,None,TA,Fa,BrkTil,Fa,Po,No,Unf,961,Gd,Y,Mix,1077,0,0,1077,1,0,2,TA,6,Maj2,0,None,Detchd,1920.0,Unf,1,Po,Po,N,0,0,0,0,0,0,None,11,WD,Abnorml,67000,0
400,FV,65.0,8125,Reg,Inside,Somerst,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,CemntBd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,1092,Ex,Y,SBrkr,1112,438,0,1550,2,0,2,Gd,7,Typ,0,None,Attchd,2007.0,Fin,2,TA,TA,Y,0,168,0,0,0,0,None,10,WD,Normal,241000,1
401,RL,38.0,14963,IR2,Inside,Veenker,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,BrkFace,None,Gd,TA,PConc,Gd,TA,No,GLQ,1260,Ex,Y,SBrkr,1288,0,0,1288,1,1,1,Ex,4,Typ,2,Gd,Attchd,1996.0,Fin,2,TA,TA,Y,120,30,0,0,224,0,None,12,WD,Normal,245500,1
402,RL,65.0,8767,IR1,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,1310,Ex,Y,SBrkr,1310,0,0,1310,2,0,3,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,7,New,Partial,164990,0
403,RL,60.0,10200,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,8,1940,Gable,CompShg,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,672,Ex,Y,SBrkr,672,0,0,672,1,0,2,TA,4,Typ,0,None,Detchd,1940.0,Unf,1,TA,TA,N,168,0,0,0,0,0,None,8,WD,Normal,108000,0
404,RL,93.0,12090,Reg,Corner,NoRidge,Norm,1Fam,2Story,8,5,1998,Hip,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,1141,Gd,Y,SBrkr,1165,1098,0,2263,2,1,4,Gd,10,Typ,1,TA,BuiltIn,1998.0,Fin,2,TA,TA,Y,144,123,0,0,0,0,None,7,WD,Abnorml,258000,0
405,RL,0.0,10364,IR1,Inside,Gilbert,Norm,1Fam,2Story,6,5,1995,Gable,CompShg,MetalSd,None,TA,TA,PConc,Gd,TA,No,Unf,806,Gd,Y,SBrkr,806,766,0,1572,2,1,3,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2,TA,TA,Y,0,40,0,0,0,0,None,5,WD,Normal,168000,0
406,RL,0.0,9991,IR1,Corner,Sawyer,Feedr,1Fam,1Story,4,4,1976,Gable,CompShg,Plywood,None,TA,TA,CBlock,TA,TA,No,BLQ,1281,Ex,Y,SBrkr,1620,0,0,1620,2,0,3,TA,8,Min1,1,TA,Attchd,1993.0,Unf,2,TA,TA,Y,120,78,0,0,0,0,None,6,WD,Normal,150000,1
407,RL,51.0,10480,Reg,Inside,SWISU,Norm,1Fam,1.5Fin,6,5,1936,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,1064,Ex,Y,FuseA,1166,0,473,1639,1,0,3,TA,6,Maj2,0,None,Detchd,1936.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,3,WD,Normal,115000,0
408,RL,63.0,15576,Reg,Inside,Crawfor,Norm,1Fam,2Story,6,7,1915,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,No,Unf,840,Ex,Y,SBrkr,840,840,0,1680,2,0,4,TA,8,Typ,0,None,Attchd,1960.0,Unf,1,TA,TA,Y,0,0,160,0,0,0,None,3,WD,Normal,177000,0
409,RL,109.0,14154,Reg,Corner,NridgHt,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Ex,Gd,No,Unf,1063,Ex,Y,SBrkr,1071,1101,0,2172,2,1,3,Gd,9,Typ,1,Gd,Attchd,2006.0,RFn,3,TA,TA,Y,192,62,0,0,0,0,None,8,New,Partial,280000,0
410,FV,85.0,10800,Reg,Inside,Somerst,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,1034,Ex,Y,SBrkr,1050,1028,0,2078,2,1,3,Ex,8,Typ,1,Gd,Attchd,2008.0,Fin,3,TA,TA,Y,0,102,0,0,0,0,None,4,New,Partial,339750,1
411,RL,68.0,9571,Reg,Inside,Edwards,Norm,1Fam,1Story,5,3,1958,Gable,CompShg,BrkComm,None,TA,Fa,CBlock,TA,Fa,No,Unf,1276,TA,Y,FuseA,1276,0,0,1276,1,0,3,TA,5,Mod,0,None,Attchd,1958.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,6,COD,Abnorml,60000,0
412,RL,100.0,34650,Reg,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,1056,TA,N,SBrkr,1056,0,0,1056,1,0,3,TA,5,Typ,0,None,Attchd,1955.0,Fin,2,TA,TA,Y,264,0,0,0,0,0,None,1,WD,Normal,145000,1
413,FV,0.0,4403,IR2,Inside,Somerst,Norm,1Fam,1Story,7,5,2009,Gable,CompShg,MetalSd,Stone,Ex,TA,PConc,Ex,TA,Av,GLQ,1470,Ex,Y,SBrkr,1478,0,0,1478,2,1,2,Gd,7,Typ,1,Gd,Attchd,2009.0,Fin,2,TA,TA,Y,0,144,0,0,0,0,None,6,New,Partial,222000,1
414,RM,56.0,8960,Reg,Inside,OldTown,Artery,1Fam,1Story,5,6,1927,Gable,CompShg,WdShing,None,TA,TA,CBlock,TA,TA,No,Unf,1008,Gd,Y,FuseA,1028,0,0,1028,1,0,2,TA,5,Typ,1,Gd,Detchd,1927.0,Unf,2,TA,TA,Y,0,0,130,0,0,0,None,3,WD,Normal,115000,0
415,RL,59.0,11228,IR2,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,No,BLQ,1080,Ex,Y,SBrkr,1080,1017,0,2097,2,1,3,Gd,9,Typ,1,TA,Attchd,1993.0,Unf,3,TA,TA,Y,196,187,0,0,0,0,None,12,WD,Normal,228000,1
416,RL,73.0,8899,IR1,Inside,Gilbert,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,1340,Ex,Y,SBrkr,1340,0,0,1340,2,0,3,Gd,6,Typ,0,None,Attchd,2007.0,Fin,2,TA,TA,Y,100,30,0,0,0,0,None,8,New,Partial,181134,0
417,RL,74.0,7844,Reg,Inside,Sawyer,Norm,1Fam,2Story,6,7,1978,Hip,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,672,TA,Y,SBrkr,672,728,0,1400,1,1,3,TA,6,Typ,1,TA,Attchd,1978.0,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,3,WD,Normal,149500,0
418,RL,86.0,22420,IR1,Inside,Crawfor,Feedr,1Fam,2Story,6,6,1918,Hip,CompShg,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,No,BLQ,1370,TA,N,FuseA,1370,1254,0,2624,2,1,4,TA,10,Typ,1,Gd,Detchd,1918.0,Unf,3,TA,TA,N,0,0,0,0,0,0,None,11,WD,Normal,239000,1
419,RL,60.0,8160,Reg,Inside,Edwards,Norm,1Fam,1.5Fin,5,6,1940,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,ALQ,756,Fa,N,FuseF,756,378,0,1134,1,1,3,TA,7,Typ,0,None,Detchd,1940.0,Unf,1,TA,TA,P,0,0,0,0,0,0,None,4,WD,AdjLand,126000,1
420,RL,65.0,8450,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,1056,Ex,Y,SBrkr,1056,0,0,1056,1,0,3,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1,TA,TA,Y,0,85,184,0,0,0,None,7,WD,Normal,142000,1
421,RM,78.0,7060,Reg,Inside,Mitchel,Norm,Duplex,SFoyer,7,5,1997,Gable,CompShg,VinylSd,BrkFace,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1344,Ex,Y,SBrkr,1344,0,0,1344,2,0,2,TA,8,Typ,0,None,Attchd,1997.0,Fin,4,TA,TA,Y,0,0,0,0,0,0,None,11,WD,Alloca,206300,1
422,RL,0.0,16635,IR1,FR2,NWAmes,Norm,1Fam,1Story,6,7,1977,Gable,CompShg,CemntBd,Stone,Gd,TA,CBlock,Gd,TA,No,ALQ,1602,Gd,Y,SBrkr,1602,0,0,1602,2,0,3,Gd,8,Typ,1,TA,Attchd,1977.0,Fin,2,TA,TA,Y,240,0,0,0,0,0,None,6,WD,Normal,215000,1
423,RL,100.0,21750,Reg,Inside,Mitchel,Artery,1Fam,1Story,5,5,1954,Hip,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,988,Ex,Y,FuseA,988,0,0,988,1,0,2,TA,4,Typ,0,None,Attchd,1954.0,RFn,2,TA,TA,N,0,0,0,0,0,0,None,2,WD,Normal,113000,0
424,RL,80.0,9200,Reg,Inside,NoRidge,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,1470,Gd,Y,SBrkr,1470,1160,0,2630,2,1,4,Gd,8,Typ,1,TA,Attchd,1998.0,Fin,3,TA,TA,Y,0,66,0,0,0,0,None,6,WD,Normal,315000,1
425,RL,72.0,9000,Reg,Inside,NAmes,Norm,1Fam,1Story,6,5,1956,Gable,CompShg,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,No,LwQ,1196,Gd,Y,FuseA,1196,0,0,1196,1,0,2,TA,6,Typ,1,Gd,Attchd,1956.0,RFn,1,TA,TA,Y,0,44,0,0,0,0,None,5,WD,Normal,139000,1
426,RM,60.0,3378,Reg,Inside,OldTown,Norm,1Fam,2Story,7,8,1946,Gable,CompShg,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,651,Gd,Y,SBrkr,707,682,0,1389,1,1,3,TA,6,Typ,2,Gd,Detchd,1947.0,Unf,1,TA,TA,P,0,0,126,0,0,0,None,9,WD,Normal,135000,0
427,RL,0.0,12800,Reg,Inside,SawyerW,Norm,1Fam,SLvl,7,5,1989,Gable,CompShg,Wd Sdng,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518,Gd,Y,SBrkr,1644,0,0,1644,2,0,2,Gd,5,Typ,1,TA,Attchd,1989.0,Fin,2,TA,TA,Y,80,0,0,0,396,0,None,8,WD,Normal,275000,1
428,RL,77.0,8593,IR1,Inside,NAmes,Norm,1Fam,1Story,4,6,1957,Hip,CompShg,MetalSd,None,TA,TA,CBlock,TA,TA,No,Rec,907,Ex,Y,SBrkr,907,0,0,907,1,0,3,TA,5,Typ,0,None,Detchd,1964.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,7,WD,Normal,109008,0
429,RL,64.0,6762,Reg,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,1208,Ex,Y,SBrkr,1208,0,0,1208,2,0,2,Gd,6,Typ,0,None,Attchd,2007.0,RFn,2,TA,TA,Y,105,54,0,0,0,0,None,9,New,Partial,195400,1
430,RL,130.0,11457,IR1,Corner,Timber,Norm,1Fam,1Story,6,5,1988,Gable,CompShg,HdBoard,None,TA,TA,CBlock,Gd,TA,Mn,GLQ,1392,TA,Y,SBrkr,1412,0,0,1412,2,0,3,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2,TA,TA,Y,0,0,169,0,0,0,None,3,WD,Normal,175000,1
431,RM,21.0,1680,Reg,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,483,TA,Y,SBrkr,483,504,0,987,1,1,2,TA,4,Typ,0,None,Detchd,1971.0,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,7,COD,Abnorml,85400,0
432,RM,60.0,5586,IR1,Inside,OldTown,Feedr,1Fam,1.5Fin,6,7,1920,Gable,CompShg,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,901,Gd,Y,SBrkr,1088,110,0,1198,1,0,4,TA,7,Typ,0,None,None,None,None,0,None,None,N,0,98,0,0,0,0,None,9,ConLD,Abnorml,79900,0
433,RM,24.0,1920,Reg,Inside,BrDale,Norm,TwnhsE,2Story,5,5,1971,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,765,Ex,Y,SBrkr,765,600,0,1365,1,1,2,TA,6,Min1,0,None,Detchd,1971.0,Unf,2,TA,TA,Y,240,36,0,0,0,0,None,8,WD,Normal,122500,1
434,RL,100.0,10839,IR1,Corner,Gilbert,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,926,Ex,Y,SBrkr,926,678,0,1604,2,1,3,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2,TA,TA,Y,0,36,0,0,0,0,None,7,WD,Normal,181000,0
435,RM,21.0,1890,Reg,Inside,MeadowV,Norm,Twnhs,SFoyer,4,7,1972,Gable,CompShg,CemntBd,None,TA,Gd,CBlock,Gd,TA,Av,ALQ,630,Gd,Y,SBrkr,630,0,0,630,1,0,1,TA,3,Typ,0,None,None,None,None,0,None,None,Y,88,0,0,0,0,0,None,6,WD,Normal,81000,1
436,RL,43.0,10667,IR2,CulDSac,CollgCr,PosN,1Fam,2Story,7,6,1996,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,799,Ex,Y,SBrkr,827,834,0,1661,2,1,3,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2,TA,TA,Y,158,61,0,0,0,0,None,4,ConLw,Normal,212000,1
437,RM,40.0,4400,Reg,Inside,OldTown,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Stucco,None,TA,TA,BrkTil,Fa,TA,No,Unf,648,TA,Y,FuseA,734,384,0,1118,1,0,2,TA,6,Typ,0,None,Detchd,1990.0,Unf,2,TA,TA,Y,0,0,0,0,0,0,None,10,WD,Normal,116000,0
438,RM,50.0,6000,Reg,Inside,BrkSide,Norm,1Fam,1.5Unf,6,7,1926,Gable,CompShg,Wd Sdng,None,Gd,TA,PConc,TA,TA,No,Unf,884,Gd,Y,SBrkr,904,0,0,904,1,0,2,TA,4,Typ,0,None,Detchd,1926.0,Unf,1,TA,TA,Y,0,0,105,0,0,0,None,1,WD,Normal,119000,0
439,RL,40.0,4280,Reg,Inside,Crawfor,Norm,1Fam,1Story,5,6,1913,Gable,CompShg,WdShing,None,TA,TA,PConc,TA,TA,No,LwQ,440,TA,N,SBrkr,694,0,0,694,1,0,2,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1,Gd,TA,P,0,0,34,0,0,0,None,3,WD,Normal,90350,0
440,RL,67.0,12354,Reg,Corner,Edwards,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,TA,Fa,Mn,Unf,684,Gd,Y,SBrkr,684,512,0,1196,1,0,3,Gd,7,Typ,0,None,Detchd,2005.0,Unf,2,TA,TA,Y,0,46,0,0,0,0,Shed,8,ConLI,Normal,110000,0
441,RL,105.0,15431,Reg,Inside,NridgHt,Norm,1Fam,1Story,10,5,2008,Hip,CompShg,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,3094,Ex,Y,SBrkr,2402,0,0,2402,2,0,2,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3,TA,TA,Y,0,72,0,0,170,0,None,4,WD,Normal,555000,1
