Id,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MoSold,SaleType,SaleCondition,SalePrice,BsmtHasBath
12,3,85.0,11924,0,4,16,2,0,5,9,5,106,3,1,14,3,0,4,2,0,4,3,2,1175,0,1,4,1182,1142,0,2324,3,0,4,0,11,6,2,2,3,91,0,3,5,5,2,147,21,0,0,0,0,1,7,6,5,345000,1
13,3,0.0,12968,1,4,19,2,0,2,5,6,63,3,1,6,2,3,4,1,4,4,3,0,912,4,1,4,912,0,0,912,1,0,2,3,4,6,0,3,5,48,3,1,5,5,2,140,0,0,0,176,0,1,9,8,4,144000,1
14,3,91.0,10652,0,4,5,2,0,2,7,5,107,1,1,12,3,2,4,2,2,4,0,6,1494,0,1,4,1494,0,0,1494,2,0,3,2,7,6,1,2,1,92,2,3,5,5,2,160,33,0,0,0,0,1,8,6,5,279500,0
15,3,0.0,10920,0,0,12,2,0,2,6,5,61,3,1,8,1,3,4,1,4,4,3,1,1253,4,1,4,1253,0,0,1253,1,1,2,3,5,6,1,1,1,46,2,1,5,5,2,0,213,176,0,0,0,1,5,8,4,157000,1
16,4,51.0,6120,3,0,3,2,0,1,7,8,33,1,1,13,2,3,4,0,4,4,3,6,832,0,1,0,854,0,0,854,1,0,2,3,5,6,0,3,5,77,3,2,5,5,2,48,112,0,0,0,0,1,7,8,4,132000,0
17,3,0.0,11241,0,1,12,2,0,2,6,7,71,1,1,13,1,3,4,1,4,4,3,0,1004,0,1,4,1004,0,0,1004,1,0,2,3,5,6,1,5,1,56,0,2,5,5,2,0,0,0,0,0,0,3,3,8,4,149000,1
18,3,72.0,10791,3,4,19,2,2,2,4,5,68,1,1,8,2,3,4,3,3,2,4,4,0,4,1,4,1296,0,0,1296,2,0,2,3,6,6,0,3,4,53,3,2,5,5,2,0,0,0,0,0,0,3,10,8,4,90000,0
19,3,66.0,13695,3,4,20,5,0,2,5,5,105,1,1,12,2,3,4,2,4,4,3,2,1114,0,1,4,1114,0,0,1114,1,1,3,2,6,6,0,3,5,90,3,2,5,5,2,0,102,0,0,0,0,1,6,8,4,159000,1
20,3,70.0,7560,3,4,12,2,0,2,5,6,59,3,1,3,2,3,4,1,4,4,3,3,1029,4,1,4,1339,0,0,1339,1,0,3,3,6,2,0,3,1,44,3,1,5,5,2,0,0,0,0,0,0,1,5,0,0,139000,0
21,3,101.0,14215,0,0,16,2,0,5,8,5,106,1,1,12,1,2,4,2,0,4,0,6,1158,0,1,4,1158,1218,0,2376,3,1,4,2,9,6,1,2,3,91,2,3,5,5,2,240,154,0,0,0,0,1,11,6,5,325300,0
22,4,57.0,7449,3,4,9,2,0,1,7,7,34,1,1,13,2,3,4,2,4,4,3,6,637,0,1,1,1108,0,0,1108,1,0,3,2,6,6,1,2,1,18,3,1,5,5,0,0,0,205,0,0,0,1,6,8,4,139400,0
23,3,75.0,9742,3,4,5,2,0,2,8,5,103,3,1,12,1,2,4,2,2,4,3,6,1777,0,1,4,1795,0,0,1795,2,0,3,2,7,6,1,2,1,88,2,2,5,5,2,171,159,0,0,0,0,1,9,8,4,230000,0
24,4,44.0,4224,3,4,10,2,4,2,5,7,77,1,1,5,2,3,4,2,2,4,3,2,1040,4,1,4,1060,0,0,1060,1,0,3,3,6,6,1,5,1,62,3,2,5,5,2,100,110,0,0,0,0,1,6,8,4,129900,1
25,3,0.0,8246,0,4,19,2,0,2,5,8,69,1,1,9,2,3,2,1,4,4,2,5,1060,0,1,4,1060,0,0,1060,1,0,3,2,6,6,1,5,1,54,3,1,5,5,2,406,90,0,0,0,0,1,5,8,4,154000,1
26,3,110.0,14230,3,0,16,2,0,2,8,5,108,1,1,12,3,2,4,2,2,4,3,6,1566,0,1,4,1600,0,0,1600,2,0,3,2,7,6,1,2,1,93,2,3,5,5,2,0,56,0,0,0,0,1,7,8,4,256300,0
27,3,60.0,7200,3,0,12,2,0,2,5,7,52,1,1,13,2,3,4,1,4,4,2,1,900,4,1,4,900,0,0,900,1,0,3,2,5,6,0,3,5,91,3,2,5,5,2,222,32,0,0,0,0,1,5,8,4,134800,1
28,3,98.0,11478,3,4,16,2,0,2,8,5,108,1,1,12,3,2,4,2,0,4,3,2,1704,0,1,4,1704,0,0,1704,2,0,3,2,7,6,1,2,1,94,2,3,5,5,2,0,50,0,0,0,0,1,5,8,4,306000,1
29,3,47.0,16321,0,1,12,2,0,2,5,6,58,1,1,8,2,3,4,1,4,4,1,1,1484,4,1,4,1600,0,0,1600,1,0,2,3,6,6,2,2,1,43,2,1,5,5,2,288,258,0,0,0,0,1,12,8,4,207500,1
30,4,60.0,6324,0,4,3,1,0,2,4,6,31,1,1,8,2,3,4,0,4,4,3,6,520,1,0,4,520,0,0,520,1,0,1,1,4,6,0,3,5,8,3,1,1,5,2,49,0,87,0,0,0,1,5,8,4,68500,0
31,0,50.0,8500,3,4,9,1,0,5,4,4,24,2,1,3,2,3,1,0,4,4,3,6,649,4,0,4,649,668,0,1317,1,0,3,3,6,6,0,3,5,8,3,1,5,1,0,0,54,172,0,0,0,1,7,8,4,40000,0
32,3,0.0,8544,0,1,19,2,0,2,5,6,67,1,1,6,2,3,4,1,4,4,3,6,1228,2,1,4,1228,0,0,1228,1,1,3,2,6,6,0,3,1,52,3,1,5,5,2,0,65,0,0,0,0,1,6,8,4,149350,0
33,3,85.0,11049,3,0,5,2,0,2,8,5,108,1,1,12,2,2,4,2,0,4,0,6,1234,0,1,4,1234,0,0,1234,2,0,3,2,7,6,0,3,1,93,2,2,5,5,2,0,30,0,0,0,0,1,1,8,4,179900,0
34,3,70.0,10552,0,4,12,2,0,2,5,5,60,3,1,3,2,3,4,1,4,4,3,5,1398,2,1,4,1700,0,0,1700,1,1,4,2,6,6,1,2,1,45,2,2,5,5,2,0,38,0,0,0,0,1,4,8,4,165500,1
35,3,60.0,7313,3,4,16,2,4,2,9,5,106,3,1,8,1,0,4,2,0,4,3,2,1561,0,1,4,1561,0,0,1561,2,0,2,0,6,6,1,2,1,91,0,2,5,5,2,203,47,0,0,0,0,1,8,8,4,277500,1
36,3,108.0,13418,3,4,16,2,0,5,8,5,105,1,1,12,3,2,4,2,0,4,0,6,1117,0,1,4,1132,1320,0,2452,3,1,4,2,9,6,1,2,3,90,0,3,5,5,2,113,32,0,0,0,0,1,9,8,4,309000,0
37,3,112.0,10859,3,0,5,2,0,2,5,5,95,1,1,12,2,3,4,2,2,4,3,6,1097,0,1,4,1097,0,0,1097,1,1,3,3,6,6,0,3,1,81,3,2,5,5,2,392,64,0,0,0,0,1,6,8,4,145000,0
38,3,74.0,8532,3,4,12,2,0,2,5,6,55,3,1,13,1,3,4,1,4,4,3,5,1297,2,1,4,1297,0,0,1297,1,0,3,3,5,6,1,5,1,40,0,2,5,5,2,0,0,0,0,0,0,1,10,8,4,153000,1
39,3,68.0,7922,3,4,12,2,0,2,5,7,54,1,1,12,2,3,2,1,4,4,3,2,1057,4,1,4,1057,0,0,1057,1,0,3,2,5,6,0,3,5,39,3,1,5,5,2,0,52,0,0,0,0,1,1,8,0,109000,1
40,3,65.0,6040,3,4,7,2,2,2,4,5,56,1,1,0,2,3,4,2,3,2,4,4,0,4,0,2,1152,0,0,1152,2,0,2,1,6,6,0,3,6,97,1,0,3,3,0,0,0,0,0,0,0,1,6,8,1,82000,0
41,3,84.0,8658,3,4,12,2,0,2,6,5,66,1,1,13,1,3,4,1,4,4,3,5,1088,0,1,4,1324,0,0,1324,2,0,3,3,6,6,1,5,1,51,2,2,5,5,2,0,138,0,0,0,0,1,12,8,0,160000,0
42,3,115.0,16905,3,4,23,2,0,2,5,6,60,1,1,12,2,3,2,1,4,4,1,1,1350,2,1,4,1328,0,0,1328,1,1,2,3,5,6,2,2,1,45,2,1,5,5,1,0,104,0,0,0,0,1,7,8,4,170000,1
43,3,0.0,9180,0,1,20,2,0,6,5,7,84,1,1,6,2,3,4,1,2,4,0,0,840,2,1,4,884,0,0,884,1,0,2,2,5,6,0,3,1,69,2,2,5,2,2,240,0,0,0,0,0,1,12,8,4,144000,1
44,3,0.0,9200,0,1,5,2,0,2,5,6,76,3,1,12,2,3,4,1,2,4,0,3,938,4,1,4,938,0,0,938,1,0,3,3,5,6,0,3,5,63,3,1,5,5,2,145,0,0,0,0,0,1,7,8,4,130250,1
45,3,70.0,7945,3,4,12,2,0,2,5,6,60,1,1,3,2,3,4,1,4,4,3,0,1150,0,1,0,1150,0,0,1150,1,0,3,3,6,6,0,3,1,45,2,1,5,5,2,0,0,0,0,0,0,1,5,8,4,141000,1
46,3,61.0,7658,3,4,16,2,4,2,9,5,106,3,1,8,1,0,4,2,0,4,3,2,1752,0,1,4,1752,0,0,1752,2,0,2,0,6,6,1,2,1,91,2,2,5,5,2,196,82,0,0,0,0,1,2,8,4,319900,1
47,3,48.0,12822,0,1,11,2,0,0,7,5,104,1,1,12,2,2,4,2,0,4,3,2,1434,0,1,4,1518,631,0,2149,1,1,1,2,6,6,1,0,1,89,2,2,5,5,2,168,43,0,0,198,0,1,8,8,0,239686,1
48,1,84.0,11096,3,4,21,2,0,2,8,5,107,1,1,12,2,2,4,2,2,4,0,2,1656,0,1,4,1656,0,0,1656,2,0,3,2,7,6,0,3,1,92,2,3,5,5,2,0,146,0,0,0,0,1,7,8,4,249700,0
49,4,33.0,4456,3,4,17,2,1,5,4,5,24,1,1,8,2,3,4,0,4,4,3,6,736,2,1,4,736,716,0,1452,2,0,2,3,8,6,0,3,6,97,1,0,3,3,0,0,0,102,0,0,0,1,6,6,5,113000,0
50,3,66.0,7742,3,4,19,2,0,2,5,7,67,1,1,6,2,3,4,1,4,4,3,1,955,0,1,4,955,0,0,955,1,0,3,3,6,6,0,3,1,52,3,1,5,5,2,0,0,0,0,0,0,1,1,8,4,127000,1
51,3,0.0,13869,1,0,8,2,0,5,6,6,98,1,1,12,2,3,4,2,2,4,0,2,794,2,1,4,794,676,0,1470,2,0,3,3,6,6,0,3,1,83,0,2,5,5,2,0,75,0,0,0,0,1,7,8,4,177000,1
52,4,52.0,6240,3,4,3,2,0,0,6,6,37,1,1,13,2,3,4,2,4,4,3,6,816,4,1,4,816,0,360,1176,1,0,3,3,6,6,1,2,5,71,3,2,5,5,2,112,0,0,0,0,0,3,9,8,4,114500,0
53,4,110.0,8472,1,0,9,8,2,2,5,5,64,1,1,13,2,1,4,1,2,4,1,3,816,4,0,4,816,0,0,816,1,0,2,3,5,6,0,3,4,49,3,2,5,5,2,106,0,0,0,0,0,1,5,8,4,110000,1
54,3,68.0,50271,0,4,24,2,0,2,9,5,82,1,7,14,2,2,4,1,0,4,1,2,1842,2,1,4,1842,0,0,1842,0,1,0,2,5,6,1,2,1,67,0,3,5,5,2,857,72,0,0,0,0,1,11,8,4,385000,1
55,3,60.0,7134,3,4,12,2,0,7,5,5,56,1,1,8,2,3,4,1,4,4,3,0,384,4,1,4,1360,0,0,1360,1,0,3,3,6,2,1,5,5,48,3,2,5,5,2,0,50,0,0,0,0,1,2,8,4,130000,0
56,3,100.0,10175,0,4,12,2,0,2,6,5,65,1,1,6,1,3,4,1,4,4,3,1,1425,2,1,4,1425,0,0,1425,2,0,3,3,7,6,1,2,1,50,2,2,5,5,2,0,0,0,407,0,0,1,7,8,4,180500,0
57,1,24.0,2645,3,4,21,2,3,5,8,5,100,1,1,8,1,2,4,2,2,4,3,2,970,0,1,4,983,756,0,1739,2,1,3,2,7,6,0,3,1,85,0,2,5,5,2,115,0,0,0,0,0,1,8,8,0,172500,1
58,3,89.0,11645,0,0,5,2,0,5,7,5,105,1,1,12,2,2,4,2,2,4,3,6,860,0,1,4,860,860,0,1720,2,1,3,2,7,6,0,3,1,90,2,2,5,5,2,0,70,0,0,0,0,1,8,8,4,196500,0
59,3,66.0,13682,1,1,22,2,0,5,10,5,107,3,1,12,1,0,4,2,0,4,1,6,1410,0,1,4,1426,1519,0,2945,3,1,3,2,10,6,1,2,3,92,0,3,5,5,2,192,0,37,0,0,0,1,10,6,5,438780,0
60,3,60.0,7200,3,4,5,2,0,2,5,7,73,1,1,6,2,3,4,1,4,4,0,0,780,0,1,4,780,0,0,780,1,0,2,3,4,6,0,3,5,59,3,1,5,5,2,196,0,0,0,0,0,1,1,8,4,124900,0
61,3,63.0,13072,3,4,20,5,0,2,6,5,105,1,1,12,2,3,4,2,2,4,3,0,1158,0,1,4,1158,0,0,1158,1,1,3,2,5,6,0,3,5,92,3,2,5,5,2,0,50,0,0,0,0,1,5,6,5,158000,1
62,4,60.0,7200,3,4,9,2,0,4,5,7,24,1,1,8,2,3,4,0,4,0,3,6,530,4,0,4,581,530,0,1111,1,0,3,1,6,6,0,3,5,23,3,1,5,5,0,0,0,144,0,0,0,1,3,8,4,101000,0
63,3,44.0,6442,0,4,16,2,4,2,8,5,107,1,1,12,3,2,4,2,2,1,2,2,1370,0,1,4,1370,0,0,1370,2,0,2,2,6,6,1,2,1,92,2,2,5,5,2,120,49,0,0,0,0,1,10,8,4,202500,0
64,4,50.0,10300,0,4,17,6,0,5,7,6,25,1,1,11,2,3,4,0,4,4,3,6,576,2,1,4,902,808,0,1710,2,0,3,3,9,6,0,3,5,76,3,2,5,5,2,12,11,64,0,0,0,1,4,8,4,140000,0
65,3,0.0,9375,3,4,5,2,0,5,7,5,98,1,1,12,1,3,4,2,2,4,3,2,1057,0,1,4,1057,977,0,2034,2,1,3,2,8,6,0,3,1,84,2,2,5,5,2,576,36,0,0,0,0,1,2,8,4,219500,1
66,3,76.0,9591,3,4,16,2,0,5,8,5,105,1,1,12,1,2,4,2,0,4,0,6,1143,0,1,4,1143,1330,0,2473,2,1,4,2,9,6,1,2,3,90,2,3,5,5,2,192,151,0,0,0,0,1,10,8,4,317000,0
67,3,0.0,19900,3,4,12,3,0,2,7,5,71,1,1,9,1,3,4,1,2,4,1,2,1947,4,1,4,2207,0,0,2207,2,0,3,3,7,2,1,2,1,56,2,2,5,5,2,301,0,0,0,0,0,1,7,8,4,180000,1
68,3,72.0,10665,0,4,5,2,0,2,7,5,104,1,1,12,1,2,4,2,2,4,0,2,1453,0,1,4,1479,0,0,1479,2,0,3,2,7,6,0,3,1,89,2,2,5,5,2,144,29,0,0,0,0,1,6,8,4,226000,1
69,4,47.0,4608,3,0,17,0,0,2,4,6,46,1,1,8,2,3,2,1,4,4,3,6,747,4,1,4,747,0,0,747,1,0,2,3,4,6,0,3,1,31,3,1,5,5,2,0,0,0,0,0,0,1,6,8,4,80000,0
70,3,81.0,15593,3,0,4,2,0,0,7,4,54,1,1,3,2,2,4,1,4,4,3,1,1304,4,1,4,1304,983,0,2287,2,0,3,3,7,6,1,5,1,39,0,2,5,5,2,0,21,114,0,0,0,1,7,8,4,225000,0
71,3,95.0,13651,0,4,12,2,0,2,7,6,74,1,1,9,1,3,2,1,2,4,1,0,2223,0,1,4,2223,0,0,2223,2,0,3,3,8,6,2,2,1,59,0,2,5,5,2,300,0,0,0,0,0,1,2,8,4,244000,1
72,3,69.0,7599,3,0,11,2,0,2,4,6,83,1,1,6,2,3,4,1,4,4,3,0,845,4,1,4,845,0,0,845,1,0,2,3,4,6,0,3,5,73,3,2,5,5,2,0,0,0,0,0,0,1,6,8,4,129500,1
73,3,74.0,10141,0,0,8,2,0,5,7,5,99,1,1,12,1,3,4,2,2,4,3,6,832,2,1,4,885,833,0,1718,2,1,3,3,7,6,1,5,1,84,0,2,5,5,2,0,94,0,0,291,0,1,12,8,4,185000,0
74,3,85.0,10200,3,4,12,2,0,2,5,7,55,1,1,13,1,3,4,1,4,4,3,0,1086,2,1,4,1086,0,0,1086,1,0,3,3,6,6,0,3,1,75,3,2,5,5,2,0,0,0,0,0,0,1,5,8,4,144900,1
75,4,60.0,5790,3,0,17,2,0,5,3,6,19,2,1,12,2,2,2,1,1,4,3,6,840,2,0,4,840,765,0,1605,2,0,3,3,8,6,0,3,5,5,3,1,5,5,2,0,0,202,0,0,0,1,5,8,4,107400,0
76,4,21.0,1596,3,4,10,2,3,7,4,5,74,1,1,5,2,3,4,1,2,4,1,2,462,4,1,4,526,462,0,988,1,0,2,3,5,6,0,3,3,59,3,1,5,5,2,120,101,0,0,0,0,1,11,8,4,91000,1
77,3,0.0,8475,0,4,12,2,0,2,4,7,57,1,1,12,2,3,4,1,4,4,3,0,952,0,1,0,952,0,0,952,1,0,2,3,4,6,0,3,5,42,3,1,5,5,2,0,0,0,0,0,0,1,4,8,4,135750,0
78,4,50.0,8635,3,4,3,2,0,0,5,5,49,1,1,13,2,3,4,1,4,4,3,1,672,4,1,4,1072,213,0,1285,1,0,2,3,6,2,0,3,5,34,3,1,5,5,2,0,0,0,0,0,0,1,1,8,4,127000,1
79,3,72.0,10778,3,4,19,2,2,2,4,5,69,3,1,6,2,3,4,1,4,4,3,6,1768,4,0,4,1768,0,0,1768,2,0,4,3,8,6,0,3,6,97,1,0,3,3,2,0,0,0,0,0,0,1,4,8,4,136500,0
80,4,60.0,10440,3,0,17,2,0,5,5,6,14,1,1,13,2,3,4,2,4,4,3,6,440,2,1,4,682,548,0,1230,1,1,2,3,5,6,0,3,5,52,3,2,5,5,2,74,0,128,0,0,0,1,5,8,4,110000,0
81,3,100.0,13000,3,0,12,2,0,5,6,6,69,1,1,12,1,3,2,1,2,4,3,5,896,4,1,4,1182,960,0,2142,2,1,4,2,8,6,1,2,1,54,0,1,5,5,2,0,72,0,0,252,0,1,6,8,4,193500,0
82,4,32.0,4500,3,2,11,2,4,2,6,5,99,3,1,12,1,3,2,2,0,1,3,2,1237,0,1,4,1337,0,0,1337,2,0,2,3,5,6,0,3,1,84,0,2,5,5,2,0,199,0,0,0,0,1,3,8,4,153500,1
83,3,78.0,10206,3,4,21,2,0,2,8,5,108,1,1,12,3,3,4,2,2,4,3,2,1563,0,1,4,1563,0,0,1563,2,0,3,2,6,6,1,2,1,93,2,3,5,5,2,144,99,0,0,0,0,1,10,8,4,245000,0
84,3,80.0,8892,0,4,12,2,0,2,5,5,61,1,1,8,0,3,4,1,4,4,3,6,1065,2,1,4,1065,0,0,1065,1,1,3,3,6,6,0,3,5,60,3,2,5,5,2,74,0,0,0,0,0,1,7,0,4,126500,0
85,3,0.0,8530,0,4,8,2,0,7,7,5,96,1,1,6,1,3,4,2,2,4,3,6,384,2,1,4,804,670,0,1474,2,1,3,3,7,6,1,5,3,81,0,2,5,5,2,120,72,0,0,0,0,3,5,8,4,168500,0
86,3,121.0,16059,3,0,15,2,0,5,8,5,92,3,1,6,1,2,4,1,2,4,3,6,1288,0,1,4,1301,1116,0,2417,2,1,4,2,9,6,1,5,1,77,3,2,5,5,2,127,82,0,0,0,0,1,4,8,4,260000,0
87,3,122.0,11911,1,4,8,2,0,5,6,5,106,1,1,12,2,2,4,2,2,4,0,6,684,0,1,4,684,876,0,1560,2,1,3,2,6,6,1,2,3,91,0,2,5,5,2,100,38,0,0,0,0,1,3,8,4,174000,0
88,1,40.0,3951,3,0,21,2,4,5,6,5,110,1,1,12,3,2,4,2,2,4,0,6,612,0,1,4,612,612,0,1224,2,1,2,2,4,6,0,3,5,95,2,2,5,5,2,0,234,0,0,0,0,1,6,6,5,164500,0
89,0,105.0,8470,0,0,9,1,0,0,3,2,19,3,1,9,2,1,1,1,4,0,3,6,1013,4,0,4,1013,0,513,1526,1,0,2,1,6,6,0,3,6,97,1,0,3,3,0,0,0,156,0,0,0,1,10,3,0,85000,0
90,3,60.0,8070,3,4,5,2,0,2,4,5,95,1,1,12,2,3,4,2,2,4,3,2,990,0,1,4,990,0,0,990,1,0,3,3,5,6,0,3,6,97,1,0,3,3,2,0,0,0,0,0,0,1,8,8,4,123600,1
91,3,60.0,7200,3,4,12,2,0,2,4,5,51,1,1,3,2,3,4,3,3,2,4,4,0,4,1,0,1040,0,0,1040,1,0,2,3,4,6,0,3,5,36,3,2,5,5,2,0,29,0,0,0,0,1,7,8,4,109900,0
92,3,85.0,8500,3,4,12,2,0,2,5,3,62,3,1,6,0,3,4,1,4,4,3,5,1235,4,1,4,1235,0,0,1235,1,0,2,3,6,6,0,3,1,47,3,2,5,5,2,0,0,0,0,0,0,1,12,8,0,98600,0
93,3,80.0,13360,0,4,6,2,0,2,5,7,25,1,1,13,2,3,2,0,2,4,3,0,876,0,1,4,964,0,0,964,1,0,2,3,5,6,0,3,5,9,3,2,5,5,2,0,0,44,0,0,0,1,8,8,4,163500,1
94,0,60.0,7200,3,0,17,2,1,4,6,6,14,3,1,8,2,3,4,0,4,0,2,5,1214,0,0,4,1260,1031,0,2291,2,0,4,3,9,6,1,2,5,0,3,2,5,5,2,0,0,0,0,99,0,1,11,8,4,133900,1
95,3,69.0,9337,0,4,5,2,0,5,6,5,98,1,1,12,2,3,2,2,2,4,3,2,824,0,1,4,905,881,0,1786,2,1,3,2,7,6,0,3,1,83,2,2,5,5,2,0,162,0,0,0,0,1,5,8,4,204750,1
96,3,0.0,9765,1,0,8,2,0,5,6,8,94,1,1,12,1,0,2,2,2,1,3,0,680,2,1,4,680,790,0,1470,2,1,3,3,6,6,1,5,3,79,0,2,5,5,2,232,63,0,0,0,0,3,4,8,4,185000,0
97,3,78.0,10264,0,4,5,2,0,2,7,5,100,1,1,12,1,2,4,2,2,4,0,0,1588,0,1,4,1588,0,0,1588,2,0,3,2,6,6,0,3,1,85,2,2,5,5,2,158,29,0,0,0,0,1,8,8,4,214000,0
98,3,73.0,10921,3,4,7,2,0,2,4,5,66,3,1,6,1,3,4,1,4,4,3,5,960,4,1,1,960,0,0,960,1,0,3,3,6,6,0,3,1,51,0,1,5,5,1,120,0,0,0,0,0,1,5,8,4,94750,1
99,3,85.0,10625,3,0,7,2,0,2,5,5,24,1,1,13,2,3,4,0,4,4,3,0,458,1,0,4,835,0,0,835,1,0,2,3,5,6,0,3,2,8,3,1,1,5,2,0,0,77,0,0,0,3,5,0,0,83000,0
100,3,77.0,9320,0,4,12,2,0,2,4,5,60,1,1,9,2,3,4,1,4,4,3,0,950,1,1,4,1225,0,0,1225,1,1,3,3,6,6,0,3,6,97,1,0,3,3,2,352,0,0,0,0,0,3,1,8,4,128950,1
101,3,0.0,10603,0,4,14,2,0,2,6,7,78,1,1,9,1,3,4,2,4,4,2,0,1610,2,1,4,1610,0,0,1610,2,0,3,2,6,6,2,5,1,63,2,2,5,5,2,168,68,0,0,0,0,1,2,8,4,205000,1
102,3,77.0,9206,3,4,20,2,0,5,6,5,86,1,1,6,1,2,4,1,2,4,3,6,741,4,1,4,977,755,0,1732,2,1,3,2,7,6,1,5,1,71,0,2,5,5,2,192,46,0,0,0,0,1,6,8,4,178000,0
103,3,64.0,7018,3,4,20,2,2,2,5,5,80,1,1,6,2,3,1,3,3,2,4,4,0,4,1,4,1535,0,0,1535,2,0,4,3,8,6,0,3,1,65,3,2,5,5,2,0,0,0,0,0,0,1,6,8,2,118964,0
104,3,94.0,10402,0,0,5,2,0,2,7,5,110,1,1,12,2,3,4,2,2,4,3,6,1226,0,1,4,1226,0,0,1226,2,0,3,2,6,6,0,3,1,95,2,3,5,5,2,0,36,0,0,0,0,1,5,8,4,198900,0
105,4,0.0,7758,3,0,9,2,0,0,7,4,35,1,1,11,1,3,1,2,4,4,3,3,1040,0,1,1,1226,592,0,1818,1,1,4,3,7,6,2,5,5,37,3,1,5,5,2,0,0,0,0,184,0,1,6,8,4,169500,0
106,1,75.0,9375,3,4,21,2,0,5,8,5,104,3,1,12,1,2,4,2,0,4,3,6,1053,0,1,4,1053,939,0,1992,2,1,3,2,9,6,1,2,1,89,2,2,5,5,2,140,45,0,0,0,0,1,8,8,4,250000,0
