"","id","garagecars","garagetype_2Types","garagetype_Attchd","garagetype_Basment","garagetype_BuiltIn","garagetype_CarPort","garagetype_Detchd","garagetype_NA","garagefinish_Fin","garagefinish_RFn","garagefinish_Unf","garagefinish_NA"
"100",100,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"101",101,2,0,1,0,0,0,0,0,0,1,0,0
"102",102,2,0,1,0,0,0,0,0,1,0,0,0
"103",103,2,0,1,0,0,0,0,0,0,0,1,0
"104",104,3,0,1,0,0,0,0,0,0,1,0,0
"105",105,1,0,0,0,0,0,1,0,0,0,1,0
"106",106,2,0,1,0,0,0,0,0,0,1,0,0
"107",107,1,0,0,0,0,0,1,0,0,0,1,0
"108",108,1,0,0,0,0,0,1,0,0,0,1,0
"109",109,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"110",110,2,0,1,0,0,0,0,0,0,1,0,0
"111",111,1,0,1,0,0,0,0,0,0,0,1,0
"112",112,2,0,0,0,1,0,0,0,1,0,0,0
"113",113,3,0,0,0,1,0,0,0,1,0,0,0
"114",114,2,0,0,1,0,0,0,0,0,0,1,0
"115",115,1,0,0,0,0,0,1,0,0,0,1,0
"116",116,2,0,0,0,0,0,1,0,0,0,1,0
"117",117,1,0,1,0,0,0,0,0,0,0,1,0
"118",118,2,0,1,0,0,0,0,0,0,0,1,0
"119",119,3,0,1,0,0,0,0,0,0,0,1,0
"120",120,2,0,1,0,0,0,0,0,1,0,0,0
"121",121,2,0,1,0,0,0,0,0,0,0,1,0
"122",122,1,0,0,0,0,0,1,0,0,0,1,0
"123",123,1,0,1,0,0,0,0,0,0,0,1,0
"124",124,2,0,1,0,0,0,0,0,0,1,0,0
"125",125,2,0,1,0,0,0,0,0,0,0,1,0
"126",126,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"127",127,2,0,1,0,0,0,0,0,0,1,0,0
"128",128,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"129",129,2,0,1,0,0,0,0,0,0,1,0,0
"130",130,2,1,0,0,0,0,0,0,0,1,0,0
"131",131,2,0,1,0,0,0,0,0,1,0,0,0
"132",132,2,0,0,0,1,0,0,0,0,1,0,0
"133",133,2,0,0,0,0,0,1,0,0,0,1,0
"134",134,2,0,1,0,0,0,0,0,1,0,0,0
"135",135,2,0,1,0,0,0,0,0,0,1,0,0
"136",136,2,0,1,0,0,0,0,0,0,0,1,0
"137",137,1,0,1,0,0,0,0,0,0,1,0,0
"138",138,3,1,0,0,0,0,0,0,0,0,1,0
"139",139,3,0,1,0,0,0,0,0,1,0,0,0
"140",140,2,0,1,0,0,0,0,0,0,1,0,0
"141",141,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"142",142,2,0,1,0,0,0,0,0,1,0,0,0
"143",143,2,0,0,0,0,0,1,0,0,0,1,0
"144",144,2,0,1,0,0,0,0,0,0,1,0,0
"145",145,2,0,0,0,0,0,1,0,0,0,1,0
"146",146,2,0,0,0,0,0,1,0,0,0,1,0
"147",147,1,0,0,0,0,0,1,0,0,0,1,0
"148",148,2,0,0,0,1,0,0,0,1,0,0,0
"149",149,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"150",150,1,0,0,0,0,0,1,0,0,0,1,0
"151",151,2,0,1,0,0,0,0,0,0,0,1,0
"152",152,3,0,1,0,0,0,0,0,0,1,0,0
"153",153,2,0,1,0,0,0,0,0,0,1,0,0
"154",154,2,0,1,0,0,0,0,0,0,1,0,0
"155",155,1,0,0,0,0,0,1,0,0,0,1,0
"156",156,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"157",157,2,0,0,0,0,0,1,0,0,0,1,0
"158",158,3,0,0,0,1,0,0,0,1,0,0,0
"159",159,2,0,1,0,0,0,0,0,0,1,0,0
"160",160,2,0,1,0,0,0,0,0,0,1,0,0
"161",161,2,0,1,0,0,0,0,0,0,0,1,0
"162",162,3,0,0,0,1,0,0,0,1,0,0,0
"163",163,2,0,1,0,0,0,0,0,0,1,0,0
"164",164,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"165",165,1,0,0,0,0,0,1,0,0,0,1,0
"166",166,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"167",167,1,0,1,0,0,0,0,0,1,0,0,0
"168",168,3,0,1,0,0,0,0,0,1,0,0,0
"169",169,2,0,1,0,0,0,0,0,1,0,0,0
"170",170,2,0,1,0,0,0,0,0,0,1,0,0
"171",171,2,0,0,0,0,0,1,0,0,0,1,0
"172",172,2,0,1,0,0,0,0,0,1,0,0,0
"173",173,2,0,1,0,0,0,0,0,0,1,0,0
"174",174,2,0,1,0,0,0,0,0,0,0,1,0
"175",175,2,0,1,0,0,0,0,0,1,0,0,0
"176",176,2,0,1,0,0,0,0,0,0,0,1,0
"177",177,2,0,1,0,0,0,0,0,0,0,1,0
"178",178,2,0,1,0,0,0,0,0,0,0,1,0
"179",179,3,0,1,0,0,0,0,0,1,0,0,0
"180",180,2,0,0,0,0,0,1,0,0,0,1,0
"181",181,2,0,0,0,0,0,1,0,0,0,1,0
"182",182,1,0,0,0,0,0,1,0,0,0,1,0
"183",183,1,0,1,0,0,0,0,0,0,1,0,0
"184",184,2,0,0,0,0,0,1,0,0,0,1,0
"185",185,2,0,1,0,0,0,0,0,0,0,1,0
"186",186,3,0,0,0,0,0,1,0,0,0,1,0
"187",187,2,0,1,0,0,0,0,0,0,0,1,0
"188",188,1,0,0,0,0,0,1,0,0,0,1,0
"189",189,2,0,0,0,0,0,1,0,0,0,1,0
"190",190,2,0,1,0,0,0,0,0,1,0,0,0
"191",191,2,0,0,0,0,0,1,0,0,0,1,0
"192",192,2,0,1,0,0,0,0,0,1,0,0,0
"193",193,2,0,1,0,0,0,0,0,1,0,0,0
"194",194,2,0,0,0,0,0,1,0,0,0,1,0
"195",195,1,0,0,0,0,0,1,0,0,0,1,0
"196",196,2,0,1,0,0,0,0,0,0,0,1,0
"197",197,3,0,1,0,0,0,0,0,1,0,0,0
"198",198,2,0,0,0,0,0,1,0,0,0,1,0
"199",199,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"200",200,3,0,1,0,0,0,0,0,1,0,0,0
"201",201,2,0,1,0,0,0,0,0,0,1,0,0
"202",202,2,0,0,0,0,0,1,0,0,0,1,0
"203",203,1,0,1,0,0,0,0,0,0,0,1,0
"204",204,2,0,1,0,0,0,0,0,0,1,0,0
"205",205,1,0,0,0,0,0,1,0,0,0,1,0
"206",206,2,0,1,0,0,0,0,0,0,1,0,0
"207",207,1,0,1,0,0,0,0,0,0,1,0,0
"208",208,1,0,1,0,0,0,0,0,0,1,0,0
"209",209,2,0,1,0,0,0,0,0,1,0,0,0
"210",210,2,0,1,0,0,0,0,0,0,1,0,0
"211",211,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"212",212,2,0,1,0,0,0,0,0,0,1,0,0
"213",213,2,0,1,0,0,0,0,0,0,1,0,0
"214",214,2,0,1,0,0,0,0,0,0,0,1,0
"215",215,1,0,1,0,0,0,0,0,1,0,0,0
"216",216,1,0,1,0,0,0,0,0,0,0,1,0
"217",217,2,0,1,0,0,0,0,0,0,0,1,0
"218",218,1,0,0,0,0,0,1,0,0,0,1,0
"219",219,2,0,1,0,0,0,0,0,0,0,1,0
"220",220,2,0,1,0,0,0,0,0,1,0,0,0
"221",221,2,0,1,0,0,0,0,0,0,1,0,0
"222",222,2,0,0,0,1,0,0,0,0,1,0,0
"223",223,2,0,1,0,0,0,0,0,0,1,0,0
"224",224,2,0,0,0,0,0,1,0,0,0,1,0
"225",225,3,0,1,0,0,0,0,0,1,0,0,0
"226",226,1,0,0,0,0,0,1,0,0,0,1,0
"227",227,3,0,1,0,0,0,0,0,0,1,0,0
"228",228,1,0,0,0,0,0,1,0,0,0,1,0
"229",229,1,0,0,0,0,0,1,0,0,0,1,0
"230",230,2,0,1,0,0,0,0,0,1,0,0,0
"231",231,1,0,1,0,0,0,0,0,0,1,0,0
"232",232,3,0,1,0,0,0,0,0,1,0,0,0
"233",233,1,0,1,0,0,0,0,0,0,0,1,0
"234",234,1,0,1,0,0,0,0,0,0,0,1,0
"235",235,2,0,0,0,1,0,0,0,1,0,0,0
"236",236,1,0,0,0,0,0,1,0,0,0,1,0
"237",237,2,0,1,0,0,0,0,0,0,1,0,0
"238",238,2,0,1,0,0,0,0,0,0,1,0,0
"239",239,3,0,1,0,0,0,0,0,1,0,0,0
"240",240,1,0,0,0,0,0,1,0,0,0,1,0
"241",241,2,0,1,0,0,0,0,0,0,1,0,0
"242",242,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"243",243,1,0,1,0,0,0,0,0,0,0,1,0
"244",244,1,0,1,0,0,0,0,0,0,1,0,0
"245",245,2,0,1,0,0,0,0,0,0,1,0,0
"246",246,2,0,1,0,0,0,0,0,1,0,0,0
"247",247,1,0,0,0,0,0,1,0,0,0,1,0
"248",248,2,0,1,0,0,0,0,0,0,0,1,0
"249",249,2,0,1,0,0,0,0,0,0,1,0,0
"250",250,2,0,1,0,0,0,0,0,1,0,0,0
"251",251,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"252",252,2,0,1,0,0,0,0,0,1,0,0,0
"253",253,2,0,1,0,0,0,0,0,0,1,0,0
"254",254,1,0,1,0,0,0,0,0,0,1,0,0
"255",255,1,0,1,0,0,0,0,0,0,1,0,0
"256",256,2,0,0,0,1,0,0,0,1,0,0,0
"257",257,2,0,1,0,0,0,0,0,0,1,0,0
"258",258,2,0,1,0,0,0,0,0,0,1,0,0
"259",259,2,0,1,0,0,0,0,0,0,1,0,0
"260",260,1,0,0,0,0,0,1,0,0,0,1,0
"261",261,2,0,1,0,0,0,0,0,0,0,1,0
"262",262,3,0,0,0,1,0,0,0,1,0,0,0
"263",263,2,0,1,0,0,0,0,0,0,0,1,0
"264",264,2,0,0,0,0,0,1,0,0,0,1,0
"265",265,2,0,0,0,0,0,1,0,0,0,1,0
"266",266,2,0,1,0,0,0,0,0,1,0,0,0
"267",267,2,0,1,0,0,0,0,0,1,0,0,0
"268",268,1,0,0,0,0,0,1,0,0,0,1,0
"269",269,1,0,0,0,0,0,1,0,1,0,0,0
"270",270,1,0,1,0,0,0,0,0,0,1,0,0
"271",271,3,0,1,0,0,0,0,0,0,1,0,0
"272",272,2,0,1,0,0,0,0,0,0,0,1,0
"273",273,3,0,1,0,0,0,0,0,1,0,0,0
"274",274,1,0,1,0,0,0,0,0,0,1,0,0
"275",275,1,0,1,0,0,0,0,0,0,0,1,0
"276",276,2,0,0,0,0,0,1,0,0,0,1,0
"277",277,2,0,1,0,0,0,0,0,1,0,0,0
"278",278,2,0,0,0,0,0,1,0,0,0,1,0
"279",279,3,0,1,0,0,0,0,0,1,0,0,0
"280",280,2,0,1,0,0,0,0,0,1,0,0,0
"281",281,2,0,1,0,0,0,0,0,1,0,0,0
"282",282,2,0,1,0,0,0,0,0,1,0,0,0
"283",283,2,0,1,0,0,0,0,0,0,1,0,0
"284",284,3,0,1,0,0,0,0,0,1,0,0,0
"285",285,2,0,1,0,0,0,0,0,0,1,0,0
"286",286,2,0,0,0,0,0,1,0,0,1,0,0
"287",287,2,0,1,0,0,0,0,0,0,1,0,0
"288",288,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"289",289,1,0,0,0,0,0,1,0,0,0,1,0
"290",290,1,0,0,0,0,0,1,0,0,0,1,0
"291",291,2,0,1,0,0,0,0,0,0,1,0,0
"292",292,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"293",293,1,0,1,0,0,0,0,0,0,0,1,0
"294",294,2,0,1,0,0,0,0,0,1,0,0,0
"295",295,2,0,1,0,0,0,0,0,1,0,0,0
"296",296,2,0,0,0,0,0,1,0,0,0,1,0
"297",297,1,0,1,0,0,0,0,0,0,0,1,0
"298",298,2,0,0,0,0,0,1,0,0,1,0,0
"299",299,2,0,1,0,0,0,0,0,0,0,1,0
"300",300,1,0,1,0,0,0,0,0,0,0,1,0
"301",301,1,0,1,0,0,0,0,0,0,0,1,0
"302",302,2,0,0,0,1,0,0,0,1,0,0,0
"303",303,3,0,1,0,0,0,0,0,0,1,0,0
"304",304,2,0,1,0,0,0,0,0,0,0,1,0
"305",305,3,0,1,0,0,0,0,0,0,0,1,0
"306",306,3,0,1,0,0,0,0,0,1,0,0,0
"307",307,3,0,1,0,0,0,0,0,0,1,0,0
"308",308,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"309",309,2,0,0,0,0,0,1,0,0,0,1,0
"310",310,3,0,1,0,0,0,0,0,1,0,0,0
"311",311,2,0,1,0,0,0,0,0,1,0,0,0
"312",312,1,0,0,0,0,0,1,0,0,0,1,0
"313",313,2,0,0,0,0,0,1,0,0,0,1,0
"314",314,2,0,1,0,0,0,0,0,0,1,0,0
"315",315,2,0,0,0,0,0,1,0,0,0,1,0
"316",316,2,0,1,0,0,0,0,0,1,0,0,0
"317",317,2,0,1,0,0,0,0,0,0,1,0,0
"318",318,3,0,1,0,0,0,0,0,0,1,0,0
"319",319,3,0,1,0,0,0,0,0,0,1,0,0
"320",320,2,0,1,0,0,0,0,0,0,0,1,0
"321",321,3,0,1,0,0,0,0,0,0,1,0,0
"322",322,3,0,0,0,1,0,0,0,1,0,0,0
"323",323,2,0,1,0,0,0,0,0,1,0,0,0
"324",324,1,0,1,0,0,0,0,0,0,0,1,0
"325",325,2,0,0,0,1,0,0,0,1,0,0,0
"326",326,2,0,0,0,0,0,1,0,0,0,1,0
"327",327,2,0,1,0,0,0,0,0,1,0,0,0
"328",328,1,0,1,0,0,0,0,0,0,1,0,0
"329",329,2,0,0,0,0,0,1,0,0,0,1,0
"330",330,1,0,0,0,0,0,1,0,0,0,1,0
"331",331,1,0,0,0,0,0,1,0,0,0,1,0
"332",332,1,0,1,0,0,0,0,0,0,1,0,0
"333",333,3,0,1,0,0,0,0,0,0,1,0,0
"334",334,2,0,1,0,0,0,0,0,0,1,0,0
"335",335,2,0,1,0,0,0,0,0,1,0,0,0
"336",336,2,0,1,0,0,0,0,0,1,0,0,0
"337",337,3,0,1,0,0,0,0,0,1,0,0,0
"338",338,2,0,1,0,0,0,0,0,0,1,0,0
"339",339,2,0,1,0,0,0,0,0,0,1,0,0
"340",340,1,0,1,0,0,0,0,0,0,0,1,0
"341",341,2,0,1,0,0,0,0,0,1,0,0,0
"342",342,1,0,0,0,0,1,0,0,0,0,1,0
"343",343,2,0,0,0,0,0,1,0,0,0,1,0
"344",344,2,0,1,0,0,0,0,0,0,1,0,0
"345",345,1,0,1,0,0,0,0,0,0,0,1,0
"346",346,1,0,0,0,0,0,1,0,0,0,1,0
"347",347,1,0,1,0,0,0,0,0,0,1,0,0
"348",348,2,0,1,0,0,0,0,0,0,0,1,0
"349",349,2,0,0,0,1,0,0,0,0,1,0,0
"350",350,3,0,1,0,0,0,0,0,1,0,0,0
"351",351,2,0,1,0,0,0,0,0,0,1,0,0
"352",352,2,0,1,0,0,0,0,0,0,1,0,0
"353",353,1,0,0,0,0,0,1,0,0,0,1,0
"354",354,2,0,0,0,0,0,1,0,0,0,1,0
"355",355,1,0,1,0,0,0,0,0,0,0,1,0
"356",356,2,0,1,0,0,0,0,0,0,1,0,0
"357",357,2,0,1,0,0,0,0,0,0,1,0,0
"358",358,2,0,1,0,0,0,0,0,1,0,0,0
"359",359,1,0,0,0,1,0,0,0,0,0,1,0
"360",360,2,0,1,0,0,0,0,0,0,1,0,0
"361",361,2,0,1,0,0,0,0,0,0,1,0,0
"362",362,1,0,0,0,0,0,1,0,0,0,1,0
"363",363,2,0,0,0,1,0,0,0,0,1,0,0
"364",364,1,0,0,0,0,0,1,0,0,0,1,0
"365",365,2,0,1,0,0,0,0,0,1,0,0,0
"366",366,1,0,0,0,0,0,1,0,0,0,1,0
"367",367,2,0,1,0,0,0,0,0,0,1,0,0
"368",368,1,0,0,1,0,0,0,0,0,1,0,0
"369",369,1,0,1,0,0,0,0,0,1,0,0,0
"370",370,2,0,0,0,0,0,1,0,1,0,0,0
"371",371,2,0,1,0,0,0,0,0,0,1,0,0
"372",372,2,0,0,0,0,0,1,0,1,0,0,0
"373",373,1,0,1,0,0,0,0,0,0,0,1,0
"374",374,1,0,1,0,0,0,0,0,0,0,1,0
"375",375,2,0,0,0,1,0,0,0,1,0,0,0
"376",376,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"377",377,2,0,0,0,0,0,1,0,0,0,1,0
"378",378,2,0,1,0,0,0,0,0,0,1,0,0
"379",379,3,0,1,0,0,0,0,0,1,0,0,0
"380",380,2,0,1,0,0,0,0,0,1,0,0,0
"381",381,1,0,0,0,0,0,1,0,0,0,1,0
"382",382,2,0,1,0,0,0,0,0,0,1,0,0
"383",383,2,0,1,0,0,0,0,0,0,1,0,0
"384",384,2,0,0,0,0,0,1,0,0,0,1,0
"385",385,2,0,1,0,0,0,0,0,1,0,0,0
"386",386,2,0,1,0,0,0,0,0,1,0,0,0
"387",387,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"388",388,1,0,0,0,0,0,1,0,0,0,1,0
"389",389,2,0,1,0,0,0,0,0,0,1,0,0
"390",390,3,0,0,0,1,0,0,0,1,0,0,0
"391",391,1,0,0,0,0,0,1,0,0,0,1,0
"392",392,2,0,0,0,1,0,0,0,1,0,0,0
"393",393,1,0,1,0,0,0,0,0,0,1,0,0
"394",394,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"395",395,1,0,0,0,0,0,1,0,0,0,1,0
"396",396,1,0,1,0,0,0,0,0,0,0,1,0
"397",397,2,0,0,0,0,0,1,0,0,1,0,0
"398",398,1,0,1,0,0,0,0,0,0,1,0,0
"399",399,1,0,0,0,0,0,1,0,0,0,1,0
"400",400,2,0,1,0,0,0,0,0,1,0,0,0
"401",401,2,0,1,0,0,0,0,0,1,0,0,0
"402",402,2,0,1,0,0,0,0,0,1,0,0,0
"403",403,1,0,0,0,0,0,1,0,0,0,1,0
"404",404,2,0,0,0,1,0,0,0,1,0,0,0
"405",405,2,0,0,0,1,0,0,0,1,0,0,0
"406",406,2,0,1,0,0,0,0,0,0,0,1,0
"407",407,1,0,0,0,0,0,1,0,0,0,1,0
"408",408,1,0,1,0,0,0,0,0,0,0,1,0
"409",409,3,0,1,0,0,0,0,0,0,1,0,0
"410",410,3,0,1,0,0,0,0,0,1,0,0,0
"411",411,1,0,1,0,0,0,0,0,0,0,1,0
"412",412,2,0,1,0,0,0,0,0,1,0,0,0
"413",413,2,0,1,0,0,0,0,0,1,0,0,0
"414",414,2,0,0,0,0,0,1,0,0,0,1,0
"415",415,3,0,1,0,0,0,0,0,0,0,1,0
"416",416,2,0,1,0,0,0,0,0,1,0,0,0
"417",417,2,0,1,0,0,0,0,0,1,0,0,0
"418",418,3,0,0,0,0,0,1,0,0,0,1,0
"419",419,1,0,0,0,0,0,1,0,0,0,1,0
"420",420,1,0,1,0,0,0,0,0,0,0,1,0
"421",421,4,0,1,0,0,0,0,0,1,0,0,0
"422",422,2,0,1,0,0,0,0,0,1,0,0,0
"423",423,2,0,1,0,0,0,0,0,0,1,0,0
"424",424,3,0,1,0,0,0,0,0,1,0,0,0
"425",425,1,0,1,0,0,0,0,0,0,1,0,0
"426",426,1,0,0,0,0,0,1,0,0,0,1,0
"427",427,2,0,1,0,0,0,0,0,1,0,0,0
"428",428,1,0,0,0,0,0,1,0,0,0,1,0
"429",429,2,0,1,0,0,0,0,0,0,1,0,0
"430",430,2,0,1,0,0,0,0,0,0,0,1,0
"431",431,1,0,0,0,0,0,1,0,0,0,1,0
"432",432,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"433",433,2,0,0,0,0,0,1,0,0,0,1,0
"434",434,2,0,1,0,0,0,0,0,1,0,0,0
"435",435,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"436",436,2,0,1,0,0,0,0,0,0,1,0,0
"437",437,2,0,0,0,0,0,1,0,0,0,1,0
"438",438,1,0,0,0,0,0,1,0,0,0,1,0
"439",439,1,0,0,0,0,0,1,0,0,0,1,0
"440",440,2,0,0,0,0,0,1,0,0,0,1,0
"441",441,3,0,1,0,0,0,0,0,1,0,0,0
"442",442,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"443",443,2,0,0,0,0,0,1,0,0,0,1,0
"444",444,3,0,1,0,0,0,0,0,1,0,0,0
"445",445,2,0,1,0,0,0,0,0,0,0,1,0
"446",446,2,0,1,0,0,0,0,0,0,0,1,0
"447",447,2,0,1,0,0,0,0,0,1,0,0,0
"448",448,2,0,1,0,0,0,0,0,1,0,0,0
"449",449,1,0,0,0,0,0,1,0,0,0,1,0
"450",450,1,0,0,0,0,0,1,0,0,0,1,0
"451",451,1,0,0,0,0,0,1,0,0,0,1,0
"452",452,2,0,1,0,0,0,0,0,0,0,1,0
"453",453,2,0,1,0,0,0,0,0,1,0,0,0
"454",454,2,0,1,0,0,0,0,0,0,1,0,0
"455",455,2,0,0,0,0,0,1,0,0,0,1,0
"456",456,2,0,1,0,0,0,0,0,0,0,1,0
"457",457,3,0,0,0,0,0,1,0,0,0,1,0
"458",458,2,0,1,0,0,0,0,0,1,0,0,0
"459",459,1,0,0,0,0,0,1,0,0,0,1,0
"460",460,1,0,0,0,0,0,1,0,0,0,1,0
"461",461,2,0,0,0,1,0,0,0,1,0,0,0
"462",462,2,0,0,0,0,0,1,0,0,1,0,0
"463",463,1,0,0,0,0,0,1,0,0,0,1,0
"464",464,1,0,0,0,0,0,1,0,0,0,1,0
"465",465,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"466",466,2,0,1,0,0,0,0,0,1,0,0,0
